File	Arithmetic mean	Standard deviation	Std/Mean	Total items
2019_1_S03_Spreadsheet.xlsx	19.773848784194527	10.670159486246503	0.5396096431553218	18424	
2019_1_S02_Spreadsheet.xlsx	7.515666553595659	5.524603968112569	0.735078376444133	23584	
2019_1_S08_Spreadsheet.xlsx	20.56002441268709	8.52846834499965	0.41480827910578455	106502	
2019_1_S14_Spreadsheet.xlsx	8.820292981037118	3.000646373626222	0.34019803878140525	11127	
2019_1_S01_Spreadsheet.xlsx	3.21823240022173	1.6268923087573763	0.5055235627623681	72160	
2019_1_S19_Spreadsheet.xlsx	4.713346303501945	1.9152991681249663	0.40635655536320936	514	
2019_1_S13_Spreadsheet.xlsx	5.431730928689883	2.811602989320774	0.5176256015315773	4824	
2019_1_S16_Spreadsheet.xlsx	6.623776223776224	2.739206422314696	0.41354151012563506	572	
2019_1_S10_Spreadsheet.xlsx	8.676022248708781	2.9911255825520877	0.344757712325743	12585	
2019_1_S18_Spreadsheet.xlsx	9.363249049743844	3.5827650321741213	0.3826412192114165	6051	
2019_1_S07_Spreadsheet.xlsx	18.712655515766055	10.902591654996836	0.5826319864548903	180673	
2019_1_S09_Spreadsheet.xlsx	10.065996019856977	3.2844984579547214	0.32629641929874215	45727	
2019_1_S04_Spreadsheet.xlsx	9.543628005657709	5.544990090391894	0.5810149019958323	4242	
2019_1_S15_Spreadsheet.xlsx	5.526461400359066	3.054396911743883	0.5526858310356483	5570	
2019_1_S06_Spreadsheet.xlsx	7.620893346908246	4.015160028601687	0.5268621204665743	96256	
2019_1_S20_Spreadsheet.xlsx	9.926675338189385	4.287390027071307	0.4319059383938029	1922	
2019_1_S11_Spreadsheet.xlsx	13.462939790575916	6.460068214148621	0.4798408308021017	3820	
2019_1_Deferred6_Spreadsheet.xlsx	5.379019027484144	2.7876143281207475	0.5182384211465711	11825	
