0.1424
15 1501
587 233 220
1
1 84 0  64 0  25 1 223
(512,232,200) ; (0,0,0)
(64,84,25) ; (523,0,0)
(64,84,25) ; (523,149,0)
(64,84,25) ; (523,0,25)
(64,84,25) ; (523,149,25)
(64,84,25) ; (523,0,50)
(64,84,25) ; (523,149,50)
(64,84,25) ; (523,0,75)
(64,84,25) ; (523,149,75)
(64,84,25) ; (523,0,100)
(64,84,25) ; (523,149,100)
(64,84,25) ; (523,0,125)
(64,84,25) ; (523,149,125)
(64,84,25) ; (523,0,150)
(64,84,25) ; (523,149,150)
(64,84,25) ; (523,0,175)
(64,84,25) ; (523,149,175)
