0.0557
58 5801
587 233 220
1
1 75 0  33 1  28 1 434
(0,0,0) ; (75,33,28)
(75,0,0) ; (150,33,28)
(150,0,0) ; (225,33,28)
(0,33,0) ; (75,66,28)
(75,33,0) ; (150,66,28)
(150,33,0) ; (225,66,28)
(0,66,0) ; (75,99,28)
(75,66,0) ; (150,99,28)
(150,66,0) ; (225,99,28)
(0,99,0) ; (75,132,28)
(75,99,0) ; (150,132,28)
(150,99,0) ; (225,132,28)
(0,132,0) ; (75,165,28)
(75,132,0) ; (150,165,28)
(150,132,0) ; (225,165,28)
(0,165,0) ; (75,198,28)
(75,165,0) ; (150,198,28)
(150,165,0) ; (225,198,28)
(0,198,0) ; (75,231,28)
(75,198,0) ; (150,231,28)
(150,198,0) ; (225,231,28)
(225,0,0) ; (300,33,28)
(300,0,0) ; (375,33,28)
(375,0,0) ; (450,33,28)
(450,0,0) ; (525,33,28)
(225,33,0) ; (300,66,28)
(300,33,0) ; (375,66,28)
(375,33,0) ; (450,66,28)
(450,33,0) ; (525,66,28)
(225,66,0) ; (300,99,28)
(300,66,0) ; (375,99,28)
(375,66,0) ; (450,99,28)
(450,66,0) ; (525,99,28)
(225,99,0) ; (300,132,28)
(300,99,0) ; (375,132,28)
(375,99,0) ; (450,132,28)
(450,99,0) ; (525,132,28)
(225,132,0) ; (300,165,28)
(300,132,0) ; (375,165,28)
(375,132,0) ; (450,165,28)
(450,132,0) ; (525,165,28)
(225,165,0) ; (300,198,28)
(300,165,0) ; (375,198,28)
(375,165,0) ; (450,198,28)
(450,165,0) ; (525,198,28)
(225,198,0) ; (300,231,28)
(300,198,0) ; (375,231,28)
(375,198,0) ; (450,231,28)
(450,198,0) ; (525,231,28)
(0,0,28) ; (75,33,56)
(75,0,28) ; (150,33,56)
(150,0,28) ; (225,33,56)
(0,33,28) ; (75,66,56)
(75,33,28) ; (150,66,56)
(150,33,28) ; (225,66,56)
(0,66,28) ; (75,99,56)
(75,66,28) ; (150,99,56)
(150,66,28) ; (225,99,56)
(0,99,28) ; (75,132,56)
(75,99,28) ; (150,132,56)
(150,99,28) ; (225,132,56)
(0,132,28) ; (75,165,56)
(75,132,28) ; (150,165,56)
(150,132,28) ; (225,165,56)
(0,165,28) ; (75,198,56)
(75,165,28) ; (150,198,56)
(150,165,28) ; (225,198,56)
(0,198,28) ; (75,231,56)
(75,198,28) ; (150,231,56)
(150,198,28) ; (225,231,56)
(225,0,28) ; (300,33,56)
(300,0,28) ; (375,33,56)
(375,0,28) ; (450,33,56)
(450,0,28) ; (525,33,56)
(225,33,28) ; (300,66,56)
(300,33,28) ; (375,66,56)
(375,33,28) ; (450,66,56)
(450,33,28) ; (525,66,56)
(225,66,28) ; (300,99,56)
(300,66,28) ; (375,99,56)
(375,66,28) ; (450,99,56)
(450,66,28) ; (525,99,56)
(225,99,28) ; (300,132,56)
(300,99,28) ; (375,132,56)
(375,99,28) ; (450,132,56)
(450,99,28) ; (525,132,56)
(225,132,28) ; (300,165,56)
(300,132,28) ; (375,165,56)
(375,132,28) ; (450,165,56)
(450,132,28) ; (525,165,56)
(225,165,28) ; (300,198,56)
(300,165,28) ; (375,198,56)
(375,165,28) ; (450,198,56)
(450,165,28) ; (525,198,56)
(225,198,28) ; (300,231,56)
(300,198,28) ; (375,231,56)
(375,198,28) ; (450,231,56)
(450,198,28) ; (525,231,56)
(0,0,56) ; (75,33,84)
(75,0,56) ; (150,33,84)
(150,0,56) ; (225,33,84)
(0,33,56) ; (75,66,84)
(75,33,56) ; (150,66,84)
(150,33,56) ; (225,66,84)
(0,66,56) ; (75,99,84)
(75,66,56) ; (150,99,84)
(150,66,56) ; (225,99,84)
(0,99,56) ; (75,132,84)
(75,99,56) ; (150,132,84)
(150,99,56) ; (225,132,84)
(0,132,56) ; (75,165,84)
(75,132,56) ; (150,165,84)
(150,132,56) ; (225,165,84)
(0,165,56) ; (75,198,84)
(75,165,56) ; (150,198,84)
(150,165,56) ; (225,198,84)
(0,198,56) ; (75,231,84)
(75,198,56) ; (150,231,84)
(150,198,56) ; (225,231,84)
(225,0,56) ; (300,33,84)
(300,0,56) ; (375,33,84)
(375,0,56) ; (450,33,84)
(450,0,56) ; (525,33,84)
(225,33,56) ; (300,66,84)
(300,33,56) ; (375,66,84)
(375,33,56) ; (450,66,84)
(450,33,56) ; (525,66,84)
(225,66,56) ; (300,99,84)
(300,66,56) ; (375,99,84)
(375,66,56) ; (450,99,84)
(450,66,56) ; (525,99,84)
(225,99,56) ; (300,132,84)
(300,99,56) ; (375,132,84)
(375,99,56) ; (450,132,84)
(450,99,56) ; (525,132,84)
(225,132,56) ; (300,165,84)
(300,132,56) ; (375,165,84)
(375,132,56) ; (450,165,84)
(450,132,56) ; (525,165,84)
(225,165,56) ; (300,198,84)
(300,165,56) ; (375,198,84)
(375,165,56) ; (450,198,84)
(450,165,56) ; (525,198,84)
(225,198,56) ; (300,231,84)
(300,198,56) ; (375,231,84)
(375,198,56) ; (450,231,84)
(450,198,56) ; (525,231,84)
(0,0,84) ; (75,28,117)
(75,0,84) ; (150,28,117)
(150,0,84) ; (225,28,117)
(0,28,84) ; (75,56,117)
(75,28,84) ; (150,56,117)
(150,28,84) ; (225,56,117)
(0,56,84) ; (75,84,117)
(75,56,84) ; (150,84,117)
(150,56,84) ; (225,84,117)
(0,84,84) ; (75,112,117)
(75,84,84) ; (150,112,117)
(150,84,84) ; (225,112,117)
(0,112,84) ; (75,140,117)
(75,112,84) ; (150,140,117)
(150,112,84) ; (225,140,117)
(0,140,84) ; (75,168,117)
(75,140,84) ; (150,168,117)
(150,140,84) ; (225,168,117)
(0,168,84) ; (75,196,117)
(75,168,84) ; (150,196,117)
(150,168,84) ; (225,196,117)
(0,196,84) ; (75,224,117)
(75,196,84) ; (150,224,117)
(150,196,84) ; (225,224,117)
(225,0,84) ; (300,28,117)
(300,0,84) ; (375,28,117)
(375,0,84) ; (450,28,117)
(450,0,84) ; (525,28,117)
(225,28,84) ; (300,56,117)
(300,28,84) ; (375,56,117)
(375,28,84) ; (450,56,117)
(450,28,84) ; (525,56,117)
(225,56,84) ; (300,84,117)
(300,56,84) ; (375,84,117)
(375,56,84) ; (450,84,117)
(450,56,84) ; (525,84,117)
(225,84,84) ; (300,112,117)
(300,84,84) ; (375,112,117)
(375,84,84) ; (450,112,117)
(450,84,84) ; (525,112,117)
(225,112,84) ; (300,140,117)
(300,112,84) ; (375,140,117)
(375,112,84) ; (450,140,117)
(450,112,84) ; (525,140,117)
(225,140,84) ; (300,168,117)
(300,140,84) ; (375,168,117)
(375,140,84) ; (450,168,117)
(450,140,84) ; (525,168,117)
(225,168,84) ; (300,196,117)
(300,168,84) ; (375,196,117)
(375,168,84) ; (450,196,117)
(450,168,84) ; (525,196,117)
(225,196,84) ; (300,224,117)
(300,196,84) ; (375,224,117)
(375,196,84) ; (450,224,117)
(450,196,84) ; (525,224,117)
(0,0,117) ; (75,28,150)
(75,0,117) ; (150,28,150)
(150,0,117) ; (225,28,150)
(0,28,117) ; (75,56,150)
(75,28,117) ; (150,56,150)
(150,28,117) ; (225,56,150)
(0,56,117) ; (75,84,150)
(75,56,117) ; (150,84,150)
(150,56,117) ; (225,84,150)
(0,84,117) ; (75,112,150)
(75,84,117) ; (150,112,150)
(150,84,117) ; (225,112,150)
(0,112,117) ; (75,140,150)
(75,112,117) ; (150,140,150)
(150,112,117) ; (225,140,150)
(0,140,117) ; (75,168,150)
(75,140,117) ; (150,168,150)
(150,140,117) ; (225,168,150)
(0,168,117) ; (75,196,150)
(75,168,117) ; (150,196,150)
(150,168,117) ; (225,196,150)
(0,196,117) ; (75,224,150)
(75,196,117) ; (150,224,150)
(150,196,117) ; (225,224,150)
(225,0,117) ; (300,28,150)
(300,0,117) ; (375,28,150)
(375,0,117) ; (450,28,150)
(450,0,117) ; (525,28,150)
(225,28,117) ; (300,56,150)
(300,28,117) ; (375,56,150)
(375,28,117) ; (450,56,150)
(450,28,117) ; (525,56,150)
(225,56,117) ; (300,84,150)
(300,56,117) ; (375,84,150)
(375,56,117) ; (450,84,150)
(450,56,117) ; (525,84,150)
(225,84,117) ; (300,112,150)
(300,84,117) ; (375,112,150)
(375,84,117) ; (450,112,150)
(450,84,117) ; (525,112,150)
(225,112,117) ; (300,140,150)
(300,112,117) ; (375,140,150)
(375,112,117) ; (450,140,150)
(450,112,117) ; (525,140,150)
(225,140,117) ; (300,168,150)
(300,140,117) ; (375,168,150)
(375,140,117) ; (450,168,150)
(450,140,117) ; (525,168,150)
(225,168,117) ; (300,196,150)
(300,168,117) ; (375,196,150)
(375,168,117) ; (450,196,150)
(450,168,117) ; (525,196,150)
(225,196,117) ; (300,224,150)
(300,196,117) ; (375,224,150)
(375,196,117) ; (450,224,150)
(450,196,117) ; (525,224,150)
(0,0,150) ; (75,28,183)
(75,0,150) ; (150,28,183)
(150,0,150) ; (225,28,183)
(0,28,150) ; (75,56,183)
(75,28,150) ; (150,56,183)
(150,28,150) ; (225,56,183)
(0,56,150) ; (75,84,183)
(75,56,150) ; (150,84,183)
(150,56,150) ; (225,84,183)
(0,84,150) ; (75,112,183)
(75,84,150) ; (150,112,183)
(150,84,150) ; (225,112,183)
(0,112,150) ; (75,140,183)
(75,112,150) ; (150,140,183)
(150,112,150) ; (225,140,183)
(0,140,150) ; (75,168,183)
(75,140,150) ; (150,168,183)
(150,140,150) ; (225,168,183)
(0,168,150) ; (75,196,183)
(75,168,150) ; (150,196,183)
(150,168,150) ; (225,196,183)
(0,196,150) ; (75,224,183)
(75,196,150) ; (150,224,183)
(150,196,150) ; (225,224,183)
(225,0,150) ; (300,28,183)
(300,0,150) ; (375,28,183)
(375,0,150) ; (450,28,183)
(450,0,150) ; (525,28,183)
(225,28,150) ; (300,56,183)
(300,28,150) ; (375,56,183)
(375,28,150) ; (450,56,183)
