0.0629
69 6901
587 233 220
10
1 59 1  61 1  58 1 18
2 32 1  31 1  66 0 9
3 109 0  32 1  79 0 20
4 94 0  78 0  37 1 16
5 30 1  93 0  40 1 13
6 54 1  99 0  41 1 16
7 117 0  30 1  59 1 12
8 118 0  62 1  50 1 14
9 33 1  35 1  67 0 12
10 80 0  93 0  29 1 10
(354,124,218) ; (0,0,0)
(346,109,160) ; (0,124,0)
(41,198,216) ; (546,0,0)
(201,33,172) ; (386,200,0)
(94,156,185) ; (452,0,0)
(198,41,216) ; (348,159,0)
(93,80,175) ; (359,0,0)
(94,78,185) ; (358,81,0)
(118,61,58) ; (0,156,160)
(117,30,59) ; (0,126,160)
(197,93,59) ; (118,124,160)
(30,93,40) ; (316,124,160)
(186,30,40) ; (398,201,172)
(93,80,29) ; (359,0,175)
(93,80,30) ; (453,0,185)
(93,66,32) ; (453,90,185)
(93,66,32) ; (359,93,185)
