0.0406
18 1801
587 233 220
10
1 53 1  49 1  79 1 12
2 91 0  64 0  28 1 12
3 42 1  28 1  63 0 20
4 64 1  55 1  33 1 18
5 77 1  99 0  43 1 22
6 113 0  90 0  26 1 20
7 68 1  89 1  48 1 12
8 48 1  25 1  71 0 15
9 31 1  92 0  43 1 21
10 76 0  35 1  55 1 15
(0,0,0) ; (76,35,55)
(76,0,0) ; (152,35,55)
(152,0,0) ; (228,35,55)
(228,0,0) ; (304,35,55)
(0,0,55) ; (76,35,110)
(76,0,55) ; (152,35,110)
(152,0,55) ; (228,35,110)
(228,0,55) ; (304,35,110)
(0,0,110) ; (76,35,165)
(76,0,110) ; (152,35,165)
(152,0,110) ; (228,35,165)
(228,0,110) ; (304,35,165)
(0,0,165) ; (76,35,220)
(76,0,165) ; (152,35,220)
(152,0,165) ; (216,33,220)
(216,0,165) ; (292,35,220)
(0,35,0) ; (77,134,43)
(77,35,0) ; (154,134,43)
(0,134,0) ; (77,233,43)
(77,134,0) ; (154,233,43)
(0,35,43) ; (77,134,86)
(77,35,43) ; (154,134,86)
(0,134,43) ; (77,233,86)
(77,134,43) ; (154,233,86)
(0,35,86) ; (77,134,129)
(77,35,86) ; (154,134,129)
(0,134,86) ; (77,233,129)
(77,134,86) ; (154,233,129)
(0,35,129) ; (77,134,172)
(77,35,129) ; (154,134,172)
(0,134,129) ; (77,233,172)
(77,134,129) ; (154,233,172)
(0,35,172) ; (77,134,215)
(77,35,172) ; (154,134,215)
(0,134,172) ; (77,233,215)
(77,134,172) ; (154,233,215)
(248,143,0) ; (361,233,26)
(361,143,0) ; (474,233,26)
(474,143,0) ; (587,233,26)
(248,143,26) ; (361,233,52)
(361,143,26) ; (474,233,52)
(474,143,26) ; (587,233,52)
(248,143,52) ; (361,233,78)
(361,143,52) ; (474,233,78)
(474,143,52) ; (587,233,78)
(248,143,78) ; (361,233,104)
(361,143,78) ; (474,233,104)
(474,143,78) ; (587,233,104)
(248,143,104) ; (361,233,130)
(361,143,104) ; (474,233,130)
(474,143,104) ; (587,233,130)
(248,143,130) ; (361,233,156)
(361,143,130) ; (474,233,156)
(474,143,130) ; (587,233,156)
(248,143,156) ; (281,198,220)
(281,143,156) ; (314,198,220)
(314,143,156) ; (347,198,220)
(347,143,156) ; (380,198,220)
(380,143,156) ; (413,198,220)
(248,198,156) ; (303,231,220)
(303,198,156) ; (358,231,220)
(358,198,156) ; (413,231,220)
(413,143,156) ; (446,198,220)
(446,143,156) ; (479,198,220)
(479,143,156) ; (512,198,220)
(512,143,156) ; (545,198,220)
(545,143,156) ; (578,198,220)
(413,198,156) ; (468,231,220)
(468,198,156) ; (523,231,220)
(523,198,156) ; (578,231,220)
(440,0,0) ; (489,79,53)
(489,0,0) ; (538,79,53)
(538,0,0) ; (587,79,53)
(440,0,53) ; (489,79,106)
(489,0,53) ; (538,79,106)
(538,0,53) ; (587,79,106)
(440,0,106) ; (489,79,159)
(489,0,106) ; (538,79,159)
(538,0,106) ; (587,79,159)
(440,0,159) ; (489,79,212)
(489,0,159) ; (538,79,212)
(538,0,159) ; (587,79,212)
(405,79,0) ; (496,143,28)
(496,79,0) ; (587,143,28)
(405,79,28) ; (496,143,56)
(496,79,28) ; (587,143,56)
(405,79,56) ; (496,143,84)
(496,79,56) ; (587,143,84)
(405,79,84) ; (496,143,112)
(496,79,84) ; (587,143,112)
(405,79,112) ; (496,143,140)
(496,79,112) ; (587,143,140)
(405,79,140) ; (496,143,168)
(496,79,140) ; (587,143,168)
(351,0,0) ; (440,68,48)
(351,0,48) ; (440,68,96)
(351,0,96) ; (440,68,144)
(351,0,144) ; (440,68,192)
(351,0,192) ; (393,63,220)
(393,0,192) ; (435,63,220)
(154,171,0) ; (246,202,43)
(154,202,0) ; (246,233,43)
(154,171,43) ; (246,202,86)
(154,202,43) ; (246,233,86)
(154,171,86) ; (246,202,129)
(154,202,86) ; (246,233,129)
(154,171,129) ; (246,202,172)
(154,202,129) ; (246,233,172)
(154,171,172) ; (246,202,215)
(154,202,172) ; (246,233,215)
(154,35,0) ; (202,103,89)
(202,35,0) ; (250,103,89)
(154,35,89) ; (202,103,178)
(202,35,89) ; (250,103,178)
(154,103,0) ; (243,171,48)
(154,103,48) ; (243,171,96)
(154,103,96) ; (243,171,144)
(154,103,144) ; (243,171,192)
(154,103,192) ; (196,166,220)
(196,103,192) ; (238,166,220)
(308,0,0) ; (351,92,31)
(308,0,31) ; (351,92,62)
(308,0,62) ; (351,92,93)
(308,0,93) ; (351,92,124)
(308,0,124) ; (351,92,155)
(308,0,155) ; (351,92,186)
(308,0,186) ; (351,92,217)
(355,68,0) ; (380,139,48)
(380,68,0) ; (405,139,48)
(355,68,48) ; (380,139,96)
(380,68,48) ; (405,139,96)
(355,68,96) ; (380,139,144)
(380,68,96) ; (405,139,144)
(355,68,144) ; (380,139,192)
(380,68,144) ; (405,139,192)
(355,68,192) ; (403,139,217)
(250,35,0) ; (278,98,42)
(278,35,0) ; (306,98,42)
(250,35,42) ; (278,98,84)
(278,35,42) ; (306,98,84)
(250,35,84) ; (278,98,126)
(278,35,84) ; (306,98,126)
(250,35,126) ; (278,98,168)
(278,35,126) ; (306,98,168)
(256,100,0) ; (355,143,77)
(256,100,77) ; (355,143,154)
(256,100,154) ; (348,143,185)
(495,79,168) ; (587,110,211)
(495,110,168) ; (587,141,211)
(411,79,168) ; (439,142,210)
(439,79,168) ; (467,142,210)
(467,79,168) ; (495,142,210)
(250,35,168) ; (278,98,210)
(278,35,168) ; (306,98,210)
(154,35,178) ; (182,98,220)
(182,35,178) ; (210,98,220)
(210,35,178) ; (238,98,220)
(256,100,185) ; (348,143,216)
