0.0454
3 301
587 233 220
12
1 45 1  55 1  60 1 12
2 110 0  38 1  64 1 11
3 87 1  52 1  71 1 11
4 98 0  55 0  25 1 9
5 78 1  56 1  49 1 9
6 104 0  70 1  52 1 7
7 69 1  69 1  52 1 14
8 117 0  39 1  64 1 12
9 69 1  72 1  79 1 16
10 45 1  27 1  49 1 17
11 48 0  29 1  24 1 8
12 104 0  54 0  27 1 9
(350,104,219) ; (0,0,0)
(351,128,78) ; (0,105,0)
(110,162,217) ; (477,0,0)
(87,71,156) ; (500,162,0)
(144,69,158) ; (356,164,0)
(69,158,216) ; (408,0,0)
(56,156,196) ; (352,0,0)
(237,72,138) ; (0,161,78)
(240,55,135) ; (0,106,78)
(110,128,114) ; (241,105,78)
(69,69,52) ; (518,164,156)
(138,69,52) ; (362,164,158)
(49,45,27) ; (302,188,192)
(55,98,25) ; (241,135,192)
(48,58,24) ; (303,130,192)
(48,29,24) ; (241,106,192)
(48,145,24) ; (360,0,196)
