0.0511
64 6401
587 233 220
12
1 59 1  45 1  51 1 8
2 30 1  52 1  79 0 19
3 98 0  51 1  47 1 14
4 99 0  76 1  44 1 11
5 88 1  47 1  51 1 15
6 105 0  25 1  20 1 10
7 109 0  60 0  23 1 12
8 64 1  59 1  51 1 9
9 64 1  43 1  70 1 13
10 86 1  57 1  78 1 14
11 55 1  58 1  52 1 13
12 105 0  30 1  52 1 15
(382,94,153) ; (0,0,0)
(344,78,200) ; (0,155,0)
(198,76,132) ; (389,0,0)
(177,103,220) ; (410,130,0)
(105,52,120) ; (482,76,0)
(237,60,104) ; (0,95,0)
(64,70,215) ; (346,163,0)
(79,52,120) ; (403,76,0)
(59,64,153) ; (344,99,0)
(105,60,156) ; (237,95,0)
(218,60,115) ; (0,95,104)
(105,52,90) ; (482,76,120)
(79,52,90) ; (403,76,120)
(198,76,88) ; (389,0,132)
(280,86,64) ; (0,0,153)
(102,88,47) ; (280,0,153)
(58,55,52) ; (345,108,153)
(105,60,52) ; (237,95,156)
(315,75,20) ; (0,158,200)
