0.0485
41 4101
587 233 220
12
1 44 1  49 1  70 1 13
2 89 0  32 1  22 1 11
3 118 0  83 0  35 1 19
4 61 1  37 1  39 1 6
5 53 1  67 1  36 1 9
6 56 1  65 1  51 1 2
7 50 1  79 1  55 1 11
8 107 1  100 1  62 1 5
9 84 1  80 1  72 1 11
10 80 1  54 1  64 1 7
11 101 0  78 1  42 1 10
12 85 0  99 0  36 1 8
(0,0,0) ; (99,85,36)
(99,0,0) ; (198,85,36)
(0,0,36) ; (99,85,72)
(99,0,36) ; (198,85,72)
(0,0,72) ; (99,85,108)
(99,0,72) ; (198,85,108)
(0,0,108) ; (99,85,144)
(99,0,108) ; (198,85,144)
(355,0,0) ; (439,80,72)
(439,0,0) ; (523,80,72)
(523,0,0) ; (587,80,54)
(523,0,54) ; (587,80,108)
(355,0,72) ; (439,80,144)
(439,0,72) ; (523,80,144)
(523,0,108) ; (587,80,162)
(355,0,144) ; (439,80,216)
(439,0,144) ; (523,80,216)
(523,0,162) ; (587,80,216)
(0,149,0) ; (72,233,80)
(72,149,0) ; (144,233,80)
(144,149,0) ; (216,233,80)
(216,149,0) ; (288,233,80)
(288,149,0) ; (360,233,80)
(0,149,80) ; (118,232,115)
(118,149,80) ; (236,232,115)
(236,149,80) ; (354,232,115)
(0,149,115) ; (118,232,150)
(118,149,115) ; (236,232,150)
(236,149,115) ; (354,232,150)
(431,132,0) ; (509,233,42)
(509,132,0) ; (587,233,42)
(431,132,42) ; (509,233,84)
(509,132,42) ; (587,233,84)
(431,132,84) ; (509,233,126)
(509,132,84) ; (587,233,126)
(431,132,126) ; (509,233,168)
(509,132,126) ; (587,233,168)
(431,132,168) ; (509,233,210)
(509,132,168) ; (587,233,210)
(429,80,0) ; (508,130,55)
(508,80,0) ; (587,130,55)
(429,80,55) ; (508,130,110)
(508,80,55) ; (587,130,110)
(429,80,110) ; (508,130,165)
(508,80,110) ; (587,130,165)
(429,80,165) ; (508,130,220)
(508,80,165) ; (587,130,220)
(0,87,0) ; (100,149,107)
(100,87,0) ; (200,149,107)
(0,87,107) ; (100,149,214)
(100,87,107) ; (200,149,214)
(361,135,0) ; (431,184,44)
(361,184,0) ; (431,233,44)
(361,135,44) ; (431,184,88)
(361,184,44) ; (431,233,88)
(361,135,88) ; (431,184,132)
(361,184,88) ; (431,233,132)
(361,135,132) ; (431,184,176)
(361,184,132) ; (431,233,176)
(361,135,176) ; (431,184,220)
(361,184,176) ; (431,233,220)
(198,0,0) ; (316,83,35)
(198,0,35) ; (316,83,70)
(198,0,70) ; (316,83,105)
(198,0,105) ; (316,83,140)
(323,0,0) ; (355,89,22)
(323,0,22) ; (355,89,44)
(323,0,44) ; (355,89,66)
(323,0,66) ; (355,89,88)
(323,0,88) ; (355,89,110)
(323,0,110) ; (355,89,132)
(323,0,132) ; (355,89,154)
(323,0,154) ; (355,89,176)
(323,0,176) ; (355,89,198)
(323,0,198) ; (355,89,220)
(362,80,0) ; (429,133,36)
(362,80,36) ; (429,133,72)
(362,80,72) ; (429,133,108)
(362,80,108) ; (429,133,144)
(362,80,144) ; (429,133,180)
(362,80,180) ; (429,133,216)
(200,83,0) ; (280,147,54)
(200,83,54) ; (280,147,108)
(200,83,108) ; (280,147,162)
(282,94,0) ; (361,149,50)
(282,94,50) ; (361,149,100)
(282,94,100) ; (361,149,150)
(198,0,140) ; (316,83,175)
(0,0,144) ; (61,39,181)
(0,39,144) ; (61,78,181)
(0,0,181) ; (61,39,218)
(0,39,181) ; (61,78,218)
(61,0,144) ; (105,49,214)
(105,0,144) ; (149,49,214)
(149,0,144) ; (193,49,214)
(61,49,144) ; (128,85,197)
(128,49,144) ; (195,85,197)
(0,149,150) ; (118,232,185)
(118,149,150) ; (236,232,185)
(236,149,150) ; (354,232,185)
(0,149,185) ; (118,232,220)
(118,149,185) ; (236,232,220)
(236,149,185) ; (354,232,220)
(325,96,150) ; (361,149,217)
(288,110,150) ; (325,149,211)
(200,83,162) ; (265,134,218)
(198,0,175) ; (316,83,210)
(61,49,197) ; (150,81,219)
