0.0475
76 7601
587 233 220
15
1 59 1  46 1  68 1 7
2 73 1  94 1  55 1 12
3 85 0  31 1  50 1 6
4 99 1  70 1  58 1 6
5 79 0  52 1  27 1 4
6 34 1  41 1  73 0 5
7 65 1  80 1  76 1 10
8 108 0  81 1  50 1 9
9 117 0  89 0  28 1 8
10 69 1  67 1  40 1 8
11 93 0  41 1  68 1 7
12 95 0  66 0  27 1 4
13 116 0  91 0  21 1 9
14 88 1  55 1  53 1 13
15 85 0  43 1  25 1 6
(282,73,220) ; (0,0,0)
(88,159,220) ; (0,74,0)
(160,67,214) ; (427,166,0)
(304,65,160) ; (283,0,0)
(216,100,220) ; (371,65,0)
(93,159,68) ; (88,74,0)
(186,68,169) ; (241,165,0)
(58,70,198) ; (181,163,0)
(117,89,168) ; (181,74,0)
(70,99,58) ; (301,65,0)
(66,95,108) ; (305,65,58)
(91,116,147) ; (88,117,68)
(85,43,150) ; (88,74,68)
(146,34,41) ; (441,0,160)
(158,27,52) ; (429,34,160)
(158,27,52) ; (283,0,160)
(146,34,41) ; (283,27,160)
(62,85,50) ; (309,65,166)
(108,81,50) ; (181,82,168)
(170,62,50) ; (248,171,169)
