0.0471
59 5901
587 233 220
15
1 102 1  63 1  78 1 5
2 95 1  84 1  58 1 5
3 106 0  42 1  64 1 8
4 52 1  69 1  45 1 9
5 83 1  73 1  73 1 6
6 78 0  50 1  35 1 5
7 68 0  56 0  21 1 7
8 32 1  49 1  51 1 8
9 62 1  44 1  63 1 5
10 76 1  66 1  60 1 15
11 108 0  93 0  43 1 7
12 45 1  52 1  64 1 8
13 48 1  100 0  78 1 3
14 67 1  53 1  64 1 10
15 90 1  57 1  77 1 10
(0,0,0) ; (58,84,95)
(0,84,0) ; (58,168,95)
(0,0,95) ; (58,84,190)
(0,84,95) ; (58,168,190)
(396,0,0) ; (453,77,90)
(453,0,0) ; (510,77,90)
(396,77,0) ; (453,154,90)
(453,77,0) ; (510,154,90)
(396,154,0) ; (453,231,90)
(453,154,0) ; (510,231,90)
(510,0,0) ; (587,57,90)
(510,57,0) ; (587,114,90)
(510,114,0) ; (587,171,90)
(510,171,0) ; (587,228,90)
(0,169,0) ; (106,233,42)
(106,169,0) ; (212,233,42)
(0,169,42) ; (106,233,84)
(106,169,42) ; (212,233,84)
(0,169,84) ; (53,233,151)
(53,169,84) ; (106,233,151)
(106,169,84) ; (159,233,151)
(159,169,84) ; (212,233,151)
(0,169,151) ; (53,233,218)
(53,169,151) ; (106,233,218)
(106,169,151) ; (159,233,218)
(159,169,151) ; (212,233,218)
(58,0,0) ; (131,83,73)
(58,83,0) ; (131,166,73)
(58,0,73) ; (131,83,146)
(58,83,73) ; (131,166,146)
(131,0,0) ; (200,45,52)
(200,0,0) ; (269,45,52)
(269,0,0) ; (333,45,52)
(131,45,0) ; (233,108,78)
(233,45,0) ; (335,108,78)
(131,0,52) ; (200,45,104)
(200,0,52) ; (269,45,104)
(269,0,52) ; (333,45,104)
(131,45,78) ; (233,108,156)
(233,45,78) ; (335,108,156)
(131,0,104) ; (200,45,156)
(200,0,104) ; (269,45,156)
(269,0,104) ; (333,45,156)
(131,0,156) ; (176,52,220)
(176,0,156) ; (221,52,220)
(131,52,156) ; (176,104,220)
(176,52,156) ; (221,104,220)
(221,0,156) ; (288,53,220)
(221,53,156) ; (288,106,220)
(288,0,156) ; (330,106,220)
(296,155,0) ; (396,233,48)
(296,155,48) ; (396,233,96)
(336,0,0) ; (396,76,66)
(336,76,0) ; (396,152,66)
(336,0,66) ; (396,76,132)
(336,76,66) ; (396,152,132)
(336,0,132) ; (396,76,198)
(336,76,132) ; (396,152,198)
(336,0,198) ; (392,68,219)
(336,68,198) ; (392,136,219)
(131,109,0) ; (207,169,66)
(207,109,0) ; (283,169,66)
(131,109,66) ; (207,169,132)
(207,109,66) ; (283,169,132)
(131,109,132) ; (207,169,198)
(207,109,132) ; (283,169,198)
(131,109,198) ; (199,165,219)
(199,109,198) ; (267,165,219)
(212,173,0) ; (288,233,66)
(212,173,66) ; (288,233,132)
(212,173,132) ; (288,233,198)
(212,173,198) ; (280,229,219)
(284,110,0) ; (336,155,69)
(284,110,69) ; (336,155,138)
(499,0,90) ; (543,62,153)
(543,0,90) ; (587,62,153)
(499,0,153) ; (543,62,216)
(543,0,153) ; (587,62,216)
(401,120,90) ; (494,228,133)
(494,120,90) ; (587,228,133)
(401,120,133) ; (494,228,176)
(494,120,133) ; (587,228,176)
(401,120,176) ; (494,228,219)
(494,120,176) ; (587,228,219)
(503,62,90) ; (587,120,185)
(397,0,90) ; (448,32,139)
(448,0,90) ; (499,32,139)
(397,32,90) ; (448,64,139)
(448,32,90) ; (499,64,139)
(397,0,139) ; (499,63,217)
(397,64,90) ; (503,106,154)
(397,64,154) ; (503,106,218)
(296,155,96) ; (346,233,131)
(346,155,96) ; (396,233,131)
(296,155,131) ; (396,233,179)
(296,155,179) ; (346,233,214)
(346,155,179) ; (396,233,214)
(284,110,138) ; (336,155,207)
(58,0,146) ; (131,83,219)
(58,83,146) ; (131,166,219)
(509,62,185) ; (587,112,220)
(0,0,190) ; (56,68,211)
(0,68,190) ; (56,136,211)
