0.0557
37 3701
587 233 220
20
1 112 0  100 0  37 1 11
2 49 1  96 0  37 1 6
3 85 0  69 0  26 1 4
4 68 1  75 1  74 1 9
5 56 1  99 0  35 1 9
6 118 0  29 1  54 1 8
7 40 1  90 0  62 1 12
8 119 0  28 1  60 0 6
9 108 0  60 1  31 1 5
10 93 1  70 1  50 1 5
11 30 1  95 0  77 0 6
12 118 0  46 1  52 1 8
13 45 1  32 1  60 1 12
14 101 0  61 1  32 1 8
15 52 1  43 1  51 1 5
16 96 1  58 1  66 1 4
17 60 1  44 1  35 1 8
18 52 1  74 0  33 1 4
19 86 0  44 1  27 1 6
20 54 1  29 1  75 0 3
(296,75,185) ; (0,0,0)
(224,100,220) ; (0,133,0)
(120,232,184) ; (467,0,0)
(198,58,150) ; (0,75,0)
(93,140,220) ; (374,0,0)
(118,92,158) ; (349,141,0)
(77,95,150) ; (297,0,0)
(122,101,128) ; (224,132,0)
(99,56,140) ; (198,75,0)
(74,33,156) ; (300,95,0)
(112,100,37) ; (224,133,128)
(86,52,51) ; (198,75,140)
(96,58,66) ; (0,75,150)
(93,50,70) ; (96,75,150)
(75,74,68) ; (299,0,150)
(74,33,52) ; (300,95,156)
(118,87,54) ; (349,141,158)
(85,69,52) ; (224,164,165)
(27,86,44) ; (309,147,165)
(75,29,54) ; (224,135,165)
(60,119,28) ; (525,0,184)
(56,99,35) ; (529,133,184)
(60,108,31) ; (469,124,184)
(45,120,32) ; (480,0,184)
(170,69,26) ; (0,0,185)
(108,60,31) ; (170,0,185)
(86,44,27) ; (198,75,191)
