0.0514
75 7501
587 233 220
20
1 59 1  81 1  60 1 4
2 105 0  33 1  64 1 8
3 30 1  58 1  35 1 6
4 30 1  27 1  73 0 4
5 37 1  75 0  64 1 11
6 89 0  43 1  30 1 10
7 84 0  43 1  34 1 3
8 112 1  57 1  63 1 11
9 49 1  50 1  27 1 10
10 76 1  89 1  67 1 8
11 118 0  29 1  74 0 10
12 92 1  47 1  73 1 8
13 72 0  57 0  23 1 8
14 53 1  54 1  37 1 9
15 94 0  26 1  77 0 5
16 50 1  41 1  29 1 5
17 107 0  77 0  29 1 14
18 71 0  74 0  22 1 6
19 83 0  30 1  74 0 9
20 60 0  25 1  32 1 6
(0,0,0) ; (76,67,89)
(76,0,0) ; (152,67,89)
(0,0,89) ; (76,67,178)
(76,0,89) ; (152,67,178)
(0,0,178) ; (75,64,215)
(75,0,178) ; (150,64,215)
(359,0,0) ; (416,112,63)
(416,0,0) ; (473,112,63)
(473,0,0) ; (530,112,63)
(530,0,0) ; (587,112,63)
(359,0,63) ; (416,112,126)
(416,0,63) ; (473,112,126)
(473,0,63) ; (530,112,126)
(530,0,63) ; (587,112,126)
(359,0,126) ; (396,75,190)
(396,0,126) ; (433,75,190)
(433,0,126) ; (470,75,190)
(470,0,126) ; (507,75,190)
(507,0,126) ; (544,75,190)
(544,0,126) ; (581,75,190)
(359,75,126) ; (434,112,190)
(434,75,126) ; (509,112,190)
(509,75,126) ; (584,112,190)
(359,0,190) ; (432,27,220)
(432,0,190) ; (505,27,220)
(505,0,190) ; (578,27,220)
(359,27,190) ; (433,110,220)
(433,27,190) ; (507,110,220)
(507,27,190) ; (581,110,220)
(0,156,0) ; (107,233,29)
(107,156,0) ; (214,233,29)
(0,156,29) ; (107,233,58)
(107,156,29) ; (214,233,58)
(0,156,58) ; (107,233,87)
(107,156,58) ; (214,233,87)
(0,156,87) ; (107,233,116)
(107,156,87) ; (214,233,116)
(0,156,116) ; (107,233,145)
(107,156,116) ; (214,233,145)
(0,156,145) ; (107,233,174)
(107,156,145) ; (214,233,174)
(0,156,174) ; (71,230,196)
(71,156,174) ; (142,230,196)
(142,156,174) ; (213,230,196)
(0,156,196) ; (71,230,218)
(71,156,196) ; (142,230,218)
(142,156,196) ; (213,230,218)
(439,115,0) ; (513,233,29)
(513,115,0) ; (587,233,29)
(439,115,29) ; (513,233,58)
(513,115,29) ; (587,233,58)
(439,115,58) ; (513,233,87)
(513,115,58) ; (587,233,87)
(439,115,87) ; (513,233,116)
(513,115,87) ; (587,233,116)
(439,115,116) ; (511,172,139)
(511,115,116) ; (583,172,139)
(439,172,116) ; (511,229,139)
(511,172,116) ; (583,229,139)
(439,115,139) ; (511,172,162)
(511,115,139) ; (583,172,162)
(439,172,139) ; (511,229,162)
(511,172,139) ; (583,229,162)
(0,67,0) ; (67,156,76)
(67,67,0) ; (134,156,76)
(0,67,76) ; (67,156,152)
(67,67,76) ; (134,156,152)
(0,67,152) ; (43,156,182)
(43,67,152) ; (86,156,182)
(86,67,152) ; (129,156,182)
(0,67,182) ; (84,110,216)
(0,110,182) ; (84,153,216)
(84,67,182) ; (127,151,216)
(358,115,0) ; (439,174,60)
(358,174,0) ; (439,233,60)
(358,115,60) ; (439,174,120)
(358,174,60) ; (439,233,120)
(152,0,0) ; (199,73,92)
(199,0,0) ; (246,73,92)
(246,0,0) ; (293,73,92)
(152,0,92) ; (199,73,184)
(199,0,92) ; (246,73,184)
(246,0,92) ; (293,73,184)
(134,73,0) ; (208,156,30)
(134,73,30) ; (208,156,60)
(134,73,60) ; (208,156,90)
(134,73,90) ; (208,156,120)
(134,73,120) ; (208,156,150)
(134,73,150) ; (208,156,180)
(214,170,0) ; (271,233,112)
(271,170,0) ; (328,233,112)
(214,170,112) ; (326,233,169)
(293,0,0) ; (326,105,64)
(326,0,0) ; (359,105,64)
(293,0,64) ; (326,105,128)
(326,0,64) ; (359,105,128)
(293,0,128) ; (326,105,192)
(326,0,128) ; (359,105,192)
(328,144,0) ; (358,233,43)
(328,144,43) ; (358,233,86)
(328,144,86) ; (358,233,129)
(328,144,129) ; (358,233,172)
(214,76,0) ; (291,170,26)
(214,76,26) ; (291,170,52)
(214,76,52) ; (291,170,78)
(214,76,78) ; (291,170,104)
(214,76,104) ; (291,170,130)
(214,76,130) ; (287,168,177)
(328,109,0) ; (358,144,58)
(328,109,58) ; (358,144,116)
(291,116,0) ; (328,170,53)
(291,116,53) ; (328,170,106)
(291,116,106) ; (328,170,159)
(328,109,116) ; (358,144,174)
(389,125,120) ; (439,152,169)
(389,152,120) ; (439,179,169)
(389,179,120) ; (439,206,169)
(389,206,120) ; (439,233,169)
(389,125,169) ; (439,152,218)
(389,152,169) ; (439,179,218)
(389,179,169) ; (439,206,218)
(389,206,169) ; (439,233,218)
(359,128,120) ; (389,163,178)
(359,163,120) ; (389,198,178)
(359,198,120) ; (389,233,178)
(291,116,159) ; (328,170,212)
(476,152,162) ; (583,229,191)
(476,152,191) ; (583,229,220)
(477,115,162) ; (530,152,216)
(530,115,162) ; (583,152,216)
(439,123,162) ; (476,176,216)
(439,176,162) ; (476,229,216)
