0.0389
73 7301
587 233 220
3
1 68 1  60 1  37 1 54
2 98 0  75 0  26 1 67
3 80 0  36 1  50 1 63
(136,148,180) ; (0,0,0)
(300,196,182) ; (287,0,0)
(250,80,216) ; (0,153,0)
(240,37,218) ; (347,196,0)
(98,75,208) ; (136,0,0)
(68,74,180) ; (136,75,0)
(50,80,216) ; (234,0,0)
(60,37,204) ; (287,196,0)
(36,80,200) ; (250,153,0)
(80,72,200) ; (204,80,0)
(75,98,26) ; (0,0,180)
(60,68,37) ; (75,0,180)
(80,50,36) ; (0,98,180)
(50,80,36) ; (80,68,180)
(68,60,37) ; (136,75,180)
(300,136,37) ; (287,0,182)
(272,60,37) ; (315,136,182)
