0.0353
19 1901
587 233 220
3
1 119 0  27 1  65 0 68
2 37 1  52 0  21 1 93
3 67 1  47 1  49 1 78
(0,0,0) ; (65,119,27)
(65,0,0) ; (130,119,27)
(130,0,0) ; (195,119,27)
(195,0,0) ; (260,119,27)
(260,0,0) ; (325,119,27)
(325,0,0) ; (390,119,27)
(390,0,0) ; (455,119,27)
(455,0,0) ; (520,119,27)
(520,0,0) ; (585,119,27)
(0,0,27) ; (65,119,54)
(65,0,27) ; (130,119,54)
(130,0,27) ; (195,119,54)
(195,0,27) ; (260,119,54)
(260,0,27) ; (325,119,54)
(325,0,27) ; (390,119,54)
(390,0,27) ; (455,119,54)
(455,0,27) ; (520,119,54)
(520,0,27) ; (585,119,54)
(0,0,54) ; (65,119,81)
(65,0,54) ; (130,119,81)
(130,0,54) ; (195,119,81)
(195,0,54) ; (260,119,81)
(260,0,54) ; (325,119,81)
(325,0,54) ; (390,119,81)
(390,0,54) ; (455,119,81)
(455,0,54) ; (520,119,81)
(520,0,54) ; (585,119,81)
(0,0,81) ; (65,119,108)
(65,0,81) ; (130,119,108)
(130,0,81) ; (195,119,108)
(195,0,81) ; (260,119,108)
(260,0,81) ; (325,119,108)
(325,0,81) ; (390,119,108)
(390,0,81) ; (455,119,108)
(455,0,81) ; (520,119,108)
(520,0,81) ; (585,119,108)
(0,0,108) ; (65,119,135)
(65,0,108) ; (130,119,135)
(130,0,108) ; (195,119,135)
(195,0,108) ; (260,119,135)
(260,0,108) ; (325,119,135)
(325,0,108) ; (390,119,135)
(390,0,108) ; (455,119,135)
(455,0,108) ; (520,119,135)
(520,0,108) ; (585,119,135)
(0,0,135) ; (65,119,162)
(65,0,135) ; (130,119,162)
(130,0,135) ; (195,119,162)
(195,0,135) ; (260,119,162)
(260,0,135) ; (325,119,162)
(325,0,135) ; (390,119,162)
(390,0,135) ; (455,119,162)
(455,0,135) ; (520,119,162)
(520,0,135) ; (585,119,162)
(0,119,0) ; (47,186,49)
(47,119,0) ; (94,186,49)
(94,119,0) ; (141,186,49)
(141,119,0) ; (188,186,49)
(188,119,0) ; (235,186,49)
(235,119,0) ; (282,186,49)
(282,119,0) ; (329,186,49)
(329,119,0) ; (376,186,49)
(376,119,0) ; (423,186,49)
(423,119,0) ; (470,186,49)
(0,186,0) ; (67,233,49)
(67,186,0) ; (134,233,49)
(134,186,0) ; (201,233,49)
(201,186,0) ; (268,233,49)
(268,186,0) ; (335,233,49)
(335,186,0) ; (402,233,49)
(402,186,0) ; (469,233,49)
(0,119,49) ; (47,186,98)
(47,119,49) ; (94,186,98)
(94,119,49) ; (141,186,98)
(141,119,49) ; (188,186,98)
(188,119,49) ; (235,186,98)
(235,119,49) ; (282,186,98)
(282,119,49) ; (329,186,98)
(329,119,49) ; (376,186,98)
(376,119,49) ; (423,186,98)
(423,119,49) ; (470,186,98)
(0,186,49) ; (67,233,98)
(67,186,49) ; (134,233,98)
(134,186,49) ; (201,233,98)
(201,186,49) ; (268,233,98)
(268,186,49) ; (335,233,98)
(335,186,49) ; (402,233,98)
(402,186,49) ; (469,233,98)
(0,119,98) ; (47,186,147)
(47,119,98) ; (94,186,147)
(94,119,98) ; (141,186,147)
(141,119,98) ; (188,186,147)
(188,119,98) ; (235,186,147)
(235,119,98) ; (282,186,147)
(282,119,98) ; (329,186,147)
(329,119,98) ; (376,186,147)
(376,119,98) ; (423,186,147)
(423,119,98) ; (470,186,147)
(0,186,98) ; (67,233,147)
(67,186,98) ; (134,233,147)
(134,186,98) ; (201,233,147)
(201,186,98) ; (268,233,147)
(268,186,98) ; (335,233,147)
(335,186,98) ; (402,233,147)
(402,186,98) ; (469,233,147)
(0,119,147) ; (47,186,196)
(47,119,147) ; (94,186,196)
(94,119,147) ; (141,186,196)
(141,119,147) ; (188,186,196)
(188,119,147) ; (235,186,196)
(235,119,147) ; (282,186,196)
(282,119,147) ; (329,186,196)
(329,119,147) ; (376,186,196)
(376,119,147) ; (423,186,196)
(423,119,147) ; (470,186,196)
(0,186,147) ; (67,233,196)
(67,186,147) ; (134,233,196)
(134,186,147) ; (201,233,196)
(201,186,147) ; (268,233,196)
(268,186,147) ; (335,233,196)
(335,186,147) ; (402,233,196)
(402,186,147) ; (469,233,196)
(0,119,196) ; (52,156,217)
(52,119,196) ; (104,156,217)
(104,119,196) ; (156,156,217)
(156,119,196) ; (208,156,217)
(208,119,196) ; (260,156,217)
(260,119,196) ; (312,156,217)
(312,119,196) ; (364,156,217)
(364,119,196) ; (416,156,217)
(416,119,196) ; (468,156,217)
(0,156,196) ; (52,193,217)
(52,156,196) ; (104,193,217)
(104,156,196) ; (156,193,217)
(156,156,196) ; (208,193,217)
(208,156,196) ; (260,193,217)
(260,156,196) ; (312,193,217)
(312,156,196) ; (364,193,217)
(364,156,196) ; (416,193,217)
(416,156,196) ; (468,193,217)
(0,193,196) ; (52,230,217)
(52,193,196) ; (104,230,217)
(104,193,196) ; (156,230,217)
(156,193,196) ; (208,230,217)
(208,193,196) ; (260,230,217)
(260,193,196) ; (312,230,217)
(312,193,196) ; (364,230,217)
(364,193,196) ; (416,230,217)
(416,193,196) ; (468,230,217)
(493,128,0) ; (545,149,37)
(493,149,0) ; (545,170,37)
(493,170,0) ; (545,191,37)
(493,191,0) ; (545,212,37)
(493,212,0) ; (545,233,37)
(545,128,0) ; (566,180,37)
(566,128,0) ; (587,180,37)
(545,180,0) ; (566,232,37)
(566,180,0) ; (587,232,37)
(493,128,37) ; (545,149,74)
(493,149,37) ; (545,170,74)
(493,170,37) ; (545,191,74)
(493,191,37) ; (545,212,74)
(493,212,37) ; (545,233,74)
(545,128,37) ; (566,180,74)
(566,128,37) ; (587,180,74)
(545,180,37) ; (566,232,74)
(566,180,37) ; (587,232,74)
(493,128,74) ; (545,149,111)
(493,149,74) ; (545,170,111)
(493,170,74) ; (545,191,111)
(493,191,74) ; (545,212,111)
(493,212,74) ; (545,233,111)
(545,128,74) ; (566,180,111)
(566,128,74) ; (587,180,111)
(545,180,74) ; (566,232,111)
(566,180,74) ; (587,232,111)
