0.048
66 6601
587 233 220
3
1 90 1  65 1  80 1 38
2 80 0  46 1  25 1 32
3 95 0  43 1  59 1 38
(0,0,0) ; (65,90,80)
(65,0,0) ; (130,90,80)
(130,0,0) ; (195,90,80)
(195,0,0) ; (260,90,80)
(0,0,80) ; (65,90,160)
(65,0,80) ; (130,90,160)
(130,0,80) ; (195,90,160)
(195,0,80) ; (260,90,160)
(0,153,0) ; (90,233,65)
(90,153,0) ; (180,233,65)
(180,153,0) ; (270,233,65)
(270,153,0) ; (360,233,65)
(360,153,0) ; (450,233,65)
(450,153,0) ; (540,233,65)
(0,153,65) ; (90,233,130)
(90,153,65) ; (180,233,130)
(180,153,65) ; (270,233,130)
(270,153,65) ; (360,233,130)
(360,153,65) ; (450,233,130)
(450,153,65) ; (540,233,130)
(0,153,130) ; (90,233,195)
(90,153,130) ; (180,233,195)
(180,153,130) ; (270,233,195)
(270,153,130) ; (360,233,195)
(360,153,130) ; (450,233,195)
(450,153,130) ; (540,233,195)
(0,153,195) ; (46,233,220)
(46,153,195) ; (92,233,220)
(92,153,195) ; (138,233,220)
(138,153,195) ; (184,233,220)
(184,153,195) ; (230,233,220)
(230,153,195) ; (276,233,220)
(276,153,195) ; (322,233,220)
(322,153,195) ; (368,233,220)
(368,153,195) ; (414,233,220)
(414,153,195) ; (460,233,220)
(460,153,195) ; (506,233,220)
(267,0,0) ; (347,46,25)
(347,0,0) ; (427,46,25)
(427,0,0) ; (507,46,25)
(507,0,0) ; (587,46,25)
(267,46,0) ; (347,92,25)
(347,46,0) ; (427,92,25)
(427,46,0) ; (507,92,25)
(507,46,0) ; (587,92,25)
(267,0,25) ; (347,90,90)
(347,0,25) ; (427,90,90)
(427,0,25) ; (507,90,90)
(507,0,25) ; (587,90,90)
(267,0,90) ; (347,90,155)
(347,0,90) ; (427,90,155)
(427,0,90) ; (507,90,155)
(507,0,90) ; (587,90,155)
(267,0,155) ; (347,90,220)
(347,0,155) ; (427,90,220)
(427,0,155) ; (507,90,220)
(507,0,155) ; (587,90,220)
(541,153,0) ; (587,233,25)
(541,153,25) ; (587,233,50)
(541,153,50) ; (587,233,75)
(541,153,75) ; (587,233,100)
(541,153,100) ; (587,233,125)
(541,153,125) ; (587,233,150)
(541,153,150) ; (587,233,175)
(541,153,175) ; (587,233,200)
(0,94,0) ; (95,153,43)
(95,94,0) ; (190,153,43)
(190,94,0) ; (285,153,43)
(285,94,0) ; (380,153,43)
(380,94,0) ; (475,153,43)
(475,94,0) ; (570,153,43)
(0,94,43) ; (95,153,86)
(95,94,43) ; (190,153,86)
(190,94,43) ; (285,153,86)
(285,94,43) ; (380,153,86)
(380,94,43) ; (475,153,86)
(475,94,43) ; (570,153,86)
(0,94,86) ; (95,153,129)
(95,94,86) ; (190,153,129)
(190,94,86) ; (285,153,129)
(285,94,86) ; (380,153,129)
(380,94,86) ; (475,153,129)
(475,94,86) ; (570,153,129)
(0,94,129) ; (95,153,172)
(95,94,129) ; (190,153,172)
(190,94,129) ; (285,153,172)
(285,94,129) ; (380,153,172)
(380,94,129) ; (475,153,172)
(475,94,129) ; (570,153,172)
(0,94,172) ; (95,153,215)
(95,94,172) ; (190,153,215)
(190,94,172) ; (285,153,215)
(285,94,172) ; (380,153,215)
(380,94,172) ; (475,153,215)
(475,94,172) ; (570,153,215)
(0,0,160) ; (95,43,219)
(95,0,160) ; (190,43,219)
(0,43,160) ; (95,86,219)
(95,43,160) ; (190,86,219)
(190,0,160) ; (236,80,185)
(190,0,185) ; (236,80,210)
