0.0648
61 6101
587 233 220
30
1 51 1  62 1  37 1 5
2 49 1  36 1  79 0 4
3 70 1  73 1  62 1 4
4 63 1  87 0  39 1 4
5 64 1  85 1  64 1 4
6 41 1  70 1  60 1 5
7 59 1  93 1  66 1 2
8 110 1  72 1  77 1 4
9 50 0  98 0  20 1 3
10 36 1  86 0  41 1 4
11 75 1  82 1  72 1 3
12 103 0  86 0  42 1 6
13 96 1  99 1  63 1 1
14 60 1  33 1  65 1 7
15 38 1  29 1  51 1 3
16 41 1  53 1  31 1 5
17 80 1  85 1  45 1 6
18 44 1  44 1  43 1 2
19 39 1  64 1  49 1 5
20 96 1  89 1  73 1 5
21 69 1  92 1  58 1 4
22 89 0  39 1  34 1 7
23 94 0  97 0  23 1 3
24 111 0  78 1  53 1 3
25 111 0  25 1  65 0 4
26 113 0  44 1  56 1 3
27 51 0  51 0  21 1 8
28 80 0  32 1  70 0 8
29 53 1  49 1  74 1 5
30 48 1  27 1  52 1 4
(111,159,150) ; (0,0,0)
(365,89,135) ; (222,0,0)
(73,140,124) ; (514,93,0)
(158,72,159) ; (0,161,0)
(225,85,152) ; (289,148,0)
(111,65,100) ; (111,0,0)
(186,59,135) ; (328,89,0)
(128,64,219) ; (158,169,0)
(63,96,99) ; (111,65,0)
(113,44,168) ; (174,125,0)
(41,60,70) ; (174,65,0)
(86,36,123) ; (215,89,0)
(27,52,144) ; (301,96,0)
(41,60,70) ; (174,65,70)
(58,92,69) ; (111,65,99)
(99,65,120) ; (111,0,100)
(86,36,41) ; (215,89,123)
(70,80,96) ; (517,153,124)
(69,58,92) ; (518,95,124)
(309,86,84) ; (272,0,135)
(153,51,21) ; (359,96,135)
(45,80,85) ; (222,0,135)
(31,53,82) ; (328,94,135)
(41,60,70) ; (174,65,140)
(27,52,48) ; (301,96,144)
(106,148,69) ; (0,0,150)
(89,39,68) ; (425,191,152)
(87,39,63) ; (427,152,152)
(53,78,62) ; (372,152,152)
(70,80,64) ; (302,150,152)
(74,51,62) ; (438,96,156)
(78,49,64) ; (360,98,156)
(82,70,60) ; (0,163,159)
(33,65,60) ; (82,168,159)
(37,62,51) ; (115,171,159)
(41,31,53) ; (215,89,164)
(38,29,51) ; (256,89,164)
(58,38,51) ; (111,65,168)
(51,51,21) ; (111,106,168)
(62,37,51) ; (174,132,168)
(44,43,44) ; (236,126,168)
(51,51,21) ; (111,106,189)
