0.059
50 5001
587 233 220
30
1 34 1  47 1  63 1 9
2 36 1  99 0  65 1 3
3 58 0  87 0  26 1 4
4 60 0  27 1  30 1 9
5 94 0  27 1  58 0 6
6 91 1  74 1  56 1 6
7 92 1  61 1  60 1 4
8 99 0  40 1  24 1 4
9 77 0  94 0  25 1 3
10 86 0  34 1  52 1 5
11 37 1  67 1  58 1 3
12 35 1  47 1  62 1 6
13 49 1  85 1  48 1 2
14 74 0  54 0  24 1 4
15 103 0  68 0  29 1 8
16 51 1  100 0  39 1 9
17 68 1  58 1  49 1 6
18 36 1  99 0  32 1 8
19 97 0  78 0  20 1 4
20 94 0  89 0  29 1 9
21 43 1  31 1  57 1 4
22 74 1  100 1  73 1 5
23 72 0  74 0  25 1 5
24 50 0  100 0  21 1 13
25 43 1  54 1  56 1 9
26 67 0  33 1  35 1 8
27 54 1  51 1  41 1 5
28 96 1  79 1  78 1 3
29 55 1  30 1  29 1 9
30 100 0  37 1  41 1 10
(0,0,0) ; (78,97,20)
(0,0,20) ; (78,97,40)
(0,0,40) ; (78,97,60)
(0,0,60) ; (78,96,139)
(0,0,139) ; (78,96,218)
(487,0,0) ; (587,73,74)
(487,73,0) ; (587,146,74)
(487,146,0) ; (587,187,37)
(487,187,0) ; (587,228,37)
(487,146,37) ; (587,187,74)
(487,187,37) ; (587,228,74)
(487,0,74) ; (587,73,148)
(487,73,74) ; (587,146,148)
(487,146,74) ; (587,187,111)
(487,187,74) ; (587,228,111)
(487,146,111) ; (587,187,148)
(487,187,111) ; (587,228,148)
(487,0,148) ; (586,65,184)
(487,65,148) ; (586,130,184)
(487,130,148) ; (586,162,184)
(487,162,148) ; (586,194,184)
(487,194,148) ; (586,226,184)
(487,0,184) ; (586,65,220)
(487,65,184) ; (586,97,220)
(487,97,184) ; (586,129,220)
(487,129,184) ; (586,161,220)
(487,161,184) ; (586,193,220)
(487,193,184) ; (586,225,220)
(0,97,0) ; (103,165,29)
(0,165,0) ; (103,233,29)
(0,97,29) ; (103,165,58)
(0,165,29) ; (103,233,58)
(0,97,58) ; (103,165,87)
(0,165,58) ; (103,233,87)
(0,97,87) ; (103,165,116)
(0,165,87) ; (103,233,116)
(0,97,116) ; (49,165,174)
(49,97,116) ; (98,165,174)
(0,165,116) ; (49,233,174)
(49,165,116) ; (98,233,174)
(78,0,0) ; (167,94,29)
(167,0,0) ; (256,94,29)
(78,0,29) ; (167,94,58)
(167,0,29) ; (256,94,58)
(78,0,58) ; (167,94,87)
(167,0,58) ; (256,94,87)
(78,0,87) ; (167,94,116)
(167,0,87) ; (256,94,116)
(78,0,116) ; (136,94,143)
(136,0,116) ; (194,94,143)
(194,0,116) ; (252,94,143)
(78,0,143) ; (165,58,169)
(165,0,143) ; (252,58,169)
(78,58,143) ; (164,92,195)
(164,58,143) ; (250,92,195)
(78,0,169) ; (165,58,195)
(165,0,169) ; (252,58,195)
(385,0,0) ; (436,100,39)
(436,0,0) ; (487,100,39)
(385,0,39) ; (436,100,78)
(436,0,39) ; (487,100,78)
(385,0,78) ; (436,100,117)
(436,0,78) ; (487,100,117)
(385,0,117) ; (436,100,156)
(436,0,117) ; (487,100,156)
(385,0,156) ; (435,100,177)
(435,0,156) ; (485,100,177)
(385,0,177) ; (435,100,198)
(435,0,177) ; (485,100,198)
(385,0,198) ; (435,100,219)
(435,0,198) ; (485,100,219)
(315,179,0) ; (358,233,56)
(358,179,0) ; (401,233,56)
(401,179,0) ; (444,233,56)
(444,179,0) ; (487,233,56)
(315,179,56) ; (358,233,112)
(358,179,56) ; (401,233,112)
(401,179,56) ; (444,233,112)
(444,179,56) ; (487,233,112)
(315,179,112) ; (401,231,146)
(401,179,112) ; (442,233,163)
(442,179,112) ; (483,233,163)
(315,179,146) ; (401,231,180)
(401,179,163) ; (442,233,214)
(442,179,163) ; (483,233,214)
(315,179,180) ; (401,231,214)
(103,159,0) ; (194,233,56)
(194,159,0) ; (285,233,56)
(103,159,56) ; (194,233,112)
(194,159,56) ; (285,233,112)
(103,159,112) ; (194,233,168)
(194,159,112) ; (285,233,168)
(390,101,0) ; (487,179,20)
(390,101,20) ; (486,179,99)
(390,101,99) ; (484,178,124)
(103,96,0) ; (150,159,34)
(150,96,0) ; (197,159,34)
(197,96,0) ; (244,159,34)
(103,96,34) ; (150,159,68)
(150,96,34) ; (197,159,68)
(197,96,34) ; (244,159,68)
(103,96,68) ; (150,159,102)
(150,96,68) ; (197,159,102)
(197,96,68) ; (244,159,102)
(103,96,102) ; (150,158,137)
(150,96,102) ; (197,158,137)
(197,96,102) ; (244,158,137)
(103,96,137) ; (150,158,172)
(150,96,137) ; (197,158,172)
(197,96,137) ; (244,158,172)
(263,0,0) ; (324,60,92)
(324,0,0) ; (385,60,92)
(263,0,92) ; (324,60,184)
(324,0,92) ; (385,60,184)
(263,0,184) ; (323,27,214)
(263,27,184) ; (323,54,214)
(323,0,184) ; (352,55,214)
(352,0,184) ; (381,55,214)
(317,105,0) ; (390,179,100)
(317,105,100) ; (389,179,125)
(285,60,0) ; (385,101,37)
(285,60,37) ; (385,101,74)
(285,60,74) ; (385,99,125)
(285,173,0) ; (315,233,27)
(285,173,27) ; (315,233,54)
(285,173,54) ; (315,233,81)
(285,173,81) ; (315,233,108)
(285,173,108) ; (315,233,135)
(285,173,135) ; (315,233,162)
(285,173,162) ; (315,202,217)
(285,202,162) ; (315,231,217)
(256,60,0) ; (285,90,55)
(256,60,55) ; (285,90,110)
(256,60,110) ; (285,90,165)
(244,101,0) ; (312,159,49)
(244,101,49) ; (312,159,98)
(244,101,98) ; (311,159,135)
(244,101,135) ; (311,159,172)
(390,101,124) ; (484,178,149)
(390,101,149) ; (484,178,174)
(317,105,125) ; (389,179,150)
(318,60,125) ; (385,97,183)
(288,60,125) ; (318,89,180)
(322,113,150) ; (389,146,185)
(322,146,150) ; (389,179,185)
(322,113,185) ; (389,146,220)
(322,146,185) ; (389,179,220)
(256,60,165) ; (285,90,220)
(103,159,168) ; (175,233,193)
(103,159,193) ; (175,233,218)
(175,159,168) ; (229,233,192)
(229,159,168) ; (283,233,192)
(175,159,192) ; (229,233,216)
(229,159,192) ; (283,233,216)
(103,109,172) ; (188,158,220)
(188,104,172) ; (244,158,215)
(244,102,172) ; (275,159,215)
