0.0701
16 1601
587 233 220
40
1 60 0  38 1  24 1 3
2 34 1  36 1  28 1 4
3 85 1  69 1  76 1 3
4 56 1  85 1  57 1 5
5 69 1  81 1  47 1 3
6 40 1  39 1  64 1 6
7 56 1  56 1  47 1 6
8 77 0  29 1  76 0 4
9 84 0  41 1  69 1 4
10 34 1  59 1  64 1 3
11 85 0  90 0  34 1 6
12 89 0  84 1  43 1 3
13 102 0  71 0  20 1 4
14 103 0  54 1  36 1 3
15 120 0  47 1  65 1 5
16 82 0  34 1  74 0 6
17 96 0  40 1  56 1 4
18 96 0  55 0  25 1 9
19 67 1  43 1  42 1 4
20 31 1  52 0  21 1 3
21 75 1  62 1  72 1 5
22 120 0  61 0  25 1 5
23 45 1  30 1  68 0 7
24 118 1  77 1  66 1 2
25 100 0  82 0  22 1 3
26 36 1  48 1  50 1 4
27 56 0  27 1  23 1 4
28 107 0  29 1  31 1 4
29 35 1  70 0  21 1 1
30 80 0  67 0  24 1 4
31 81 1  75 1  66 1 2
32 68 0  91 0  24 1 5
33 100 0  67 0  32 1 1
34 49 1  63 0  27 1 6
35 87 1  48 1  44 1 4
36 71 0  33 1  53 1 7
37 67 1  34 1  37 1 8
38 46 1  96 0  24 1 6
39 35 1  73 0  71 0 4
40 36 1  87 0  45 1 4
(72,150,194) ; (0,0,0)
(170,69,219) ; (417,0,0)
(195,164,87) ; (392,69,0)
(74,82,217) ; (0,151,0)
(90,87,217) ; (72,0,0)
(96,146,148) ; (74,87,0)
(118,66,188) ; (162,0,0)
(146,162,66) ; (170,71,0)
(136,68,192) ; (281,0,0)
(69,85,76) ; (323,148,0)
(76,77,87) ; (316,68,0)
(90,85,154) ; (170,145,66)
(103,72,94) ; (170,71,66)
(56,85,114) ; (260,145,66)
(43,67,42) ; (273,71,66)
(69,81,142) ; (323,152,76)
(171,56,132) ; (413,177,87)
(120,47,130) ; (464,130,87)
(120,61,125) ; (464,69,87)
(21,52,31) ; (392,181,87)
(63,108,78) ; (401,69,87)
(76,77,29) ; (316,68,87)
(38,60,48) ; (278,71,108)
(75,72,62) ; (317,68,116)
(21,52,31) ; (392,181,118)
(96,112,40) ; (74,113,148)
(60,24,38) ; (74,87,148)
(21,52,31) ; (392,181,149)
(34,59,64) ; (282,71,156)
(102,71,20) ; (170,71,160)
(36,103,54) ; (427,73,165)
(23,56,54) ; (404,120,165)
(74,67,34) ; (318,68,178)
(40,64,39) ; (170,71,180)
(53,71,33) ; (260,159,180)
(34,67,37) ; (210,71,180)
(28,68,36) ; (244,71,180)
(56,23,27) ; (74,87,186)
(67,100,32) ; (74,125,188)
(29,107,31) ; (141,118,188)
(107,29,31) ; (162,0,188)
(72,34,28) ; (162,29,188)
(98,63,27) ; (312,0,192)
(23,56,27) ; (289,0,192)
(71,102,20) ; (0,0,194)
(70,35,21) ; (0,111,194)
