0.0653
94 9401
587 233 220
40
1 75 0  45 0  22 1 3
2 115 0  80 1  56 1 2
3 59 1  53 1  32 1 2
4 77 1  57 1  61 1 3
5 69 0  27 1  45 1 5
6 74 1  60 1  76 1 4
7 68 1  94 1  78 1 2
8 44 1  50 1  77 1 1
9 43 1  59 1  73 1 4
10 56 1  47 1  68 1 5
11 112 0  77 1  47 1 3
12 63 1  79 1  48 1 6
13 109 0  88 0  30 1 4
14 39 1  30 1  55 1 2
15 89 1  74 1  78 1 3
16 67 1  99 0  38 1 7
17 66 1  96 0  40 1 1
18 105 0  29 1  41 1 3
19 40 1  45 1  77 1 4
20 92 0  54 1  44 1 4
21 67 1  81 1  43 1 3
22 114 1  69 1  60 1 1
23 105 0  27 1  74 0 2
24 30 1  67 0  43 1 2
25 65 1  34 1  61 1 3
26 95 0  40 1  40 1 4
27 77 1  62 1  78 1 3
28 48 1  92 1  77 1 2
29 52 1  64 1  61 1 4
30 73 1  79 1  59 1 3
31 57 0  72 0  22 1 3
32 104 1  61 1  75 1 2
33 117 0  27 1  69 0 7
34 35 1  88 0  21 1 2
35 103 0  66 0  29 1 4
36 35 1  37 1  63 1 3
37 111 0  38 1  54 1 3
38 60 1  76 1  65 1 6
39 77 0  26 1  30 1 4
40 49 1  74 1  67 1 2
(0,0,0) ; (60,76,65)
(60,0,0) ; (120,76,65)
(120,0,0) ; (180,76,65)
(180,0,0) ; (240,76,65)
(240,0,0) ; (300,76,65)
(0,0,65) ; (99,38,132)
(99,0,65) ; (198,38,132)
(198,0,65) ; (297,38,132)
(0,38,65) ; (99,76,132)
(99,38,65) ; (198,76,132)
(198,38,65) ; (297,76,132)
(0,0,132) ; (74,76,192)
(74,0,132) ; (148,76,192)
(148,0,132) ; (222,76,192)
(222,0,132) ; (296,76,192)
(0,111,0) ; (52,172,64)
(52,111,0) ; (104,172,64)
(0,172,0) ; (52,233,64)
(52,172,0) ; (104,233,64)
(0,111,64) ; (104,172,139)
(0,172,64) ; (104,233,139)
(0,111,139) ; (45,151,216)
(0,151,139) ; (45,191,216)
(0,191,139) ; (45,231,216)
(45,111,139) ; (102,172,216)
(45,172,139) ; (102,233,216)
(398,154,0) ; (461,233,48)
(461,154,0) ; (524,233,48)
(524,154,0) ; (587,233,48)
(398,154,48) ; (461,233,96)
(461,154,48) ; (524,233,96)
(524,154,48) ; (587,233,96)
(398,154,96) ; (492,232,164)
(492,154,96) ; (586,232,164)
(398,154,164) ; (490,231,212)
(490,154,164) ; (582,231,212)
(409,0,0) ; (498,74,78)
(498,0,0) ; (587,74,78)
(409,0,78) ; (468,73,157)
(468,0,78) ; (527,73,157)
(527,0,78) ; (586,73,157)
(409,0,157) ; (452,73,216)
(452,0,157) ; (495,73,216)
(495,0,157) ; (538,73,216)
(538,0,157) ; (581,73,216)
(472,74,0) ; (587,154,56)
(472,74,56) ; (587,154,112)
(472,74,112) ; (584,151,159)
(0,76,0) ; (61,110,65)
(61,76,0) ; (122,110,65)
(104,164,0) ; (221,233,27)
(104,164,27) ; (221,233,54)
(104,164,54) ; (221,233,81)
(104,164,81) ; (221,233,108)
(104,164,108) ; (218,233,168)
(104,164,168) ; (160,232,215)
(160,164,168) ; (216,232,215)
(104,117,0) ; (216,164,77)
(104,117,77) ; (216,164,154)
(300,0,0) ; (409,88,30)
(300,0,30) ; (409,88,60)
(300,0,60) ; (409,88,90)
(300,0,90) ; (409,88,120)
(300,0,120) ; (405,29,161)
(300,29,120) ; (405,58,161)
(300,58,120) ; (405,87,161)
(320,156,0) ; (398,233,62)
(320,156,62) ; (398,233,124)
(320,156,124) ; (398,230,213)
(411,74,0) ; (472,151,57)
(411,74,57) ; (441,151,83)
(441,74,57) ; (471,151,83)
(411,74,83) ; (471,150,148)
(122,76,0) ; (218,116,66)
(221,165,0) ; (277,233,47)
(277,165,0) ; (320,232,81)
(221,165,47) ; (277,233,94)
(277,165,81) ; (320,232,111)
(221,165,94) ; (277,233,141)
(277,165,111) ; (320,232,141)
(221,165,141) ; (270,232,215)
(270,165,141) ; (319,232,215)
(308,88,0) ; (411,154,29)
(308,88,29) ; (411,154,58)
(308,88,58) ; (411,154,87)
(308,88,87) ; (411,154,116)
(216,120,0) ; (308,164,54)
(216,120,54) ; (308,164,108)
(216,120,108) ; (308,164,162)
(216,120,162) ; (308,164,216)
(218,76,0) ; (299,119,67)
(218,76,67) ; (299,119,134)
(0,76,65) ; (65,110,126)
(65,76,65) ; (118,108,124)
(122,76,66) ; (217,116,106)
(122,76,106) ; (217,116,146)
(333,92,116) ; (411,154,193)
(333,92,193) ; (410,122,219)
(333,122,193) ; (410,152,219)
(65,76,124) ; (118,108,183)
(0,76,126) ; (55,106,165)
(0,76,165) ; (55,106,204)
(218,76,134) ; (295,116,179)
(122,76,146) ; (217,116,186)
(414,74,148) ; (471,146,170)
(104,119,154) ; (179,164,176)
(104,119,176) ; (179,164,198)
(104,119,198) ; (179,164,220)
(179,129,154) ; (216,164,217)
(473,74,159) ; (584,112,213)
(473,112,159) ; (584,150,213)
(300,0,161) ; (405,74,188)
(300,0,188) ; (405,74,215)
(414,74,170) ; (471,146,192)
(414,74,192) ; (471,146,214)
(218,76,179) ; (281,113,214)
(122,76,186) ; (210,111,207)
(0,0,192) ; (45,69,219)
(45,0,192) ; (162,69,219)
(162,0,192) ; (279,69,219)
