0.0296
84 8401
587 233 220
5
1 48 1  64 0  31 1 37
2 40 1  44 1  78 1 35
3 45 1  30 1  52 1 26
4 115 0  72 1  37 1 34
5 58 1  89 1  59 1 31
(445,118,174) ; (0,0,0)
(444,115,144) ; (0,118,0)
(64,192,220) ; (523,0,0)
(78,40,220) ; (509,193,0)
(78,80,220) ; (445,0,0)
(64,48,217) ; (445,185,0)
(75,104,180) ; (448,81,0)
(360,115,74) ; (0,118,144)
(52,90,75) ; (392,143,144)
(31,64,48) ; (361,169,144)
(30,45,52) ; (362,124,144)
(400,118,44) ; (0,0,174)
(44,78,40) ; (401,0,174)
(44,78,40) ; (479,107,180)
