0.0647
10 1001
587 233 220
5
1 102 0  36 1  76 0 20
2 54 1  74 1  67 1 19
3 41 1  76 1  79 1 14
4 82 1  66 1  64 1 18
5 120 0  79 1  47 1 21
(0,0,0) ; (120,79,47)
(120,0,0) ; (240,79,47)
(240,0,0) ; (360,79,47)
(0,79,0) ; (120,158,47)
(120,79,0) ; (240,158,47)
(240,79,0) ; (360,158,47)
(0,0,47) ; (120,79,94)
(120,0,47) ; (240,79,94)
(240,0,47) ; (360,79,94)
(0,79,47) ; (120,158,94)
(120,79,47) ; (240,158,94)
(240,79,47) ; (360,158,94)
(0,0,94) ; (120,79,141)
(120,0,94) ; (240,79,141)
(240,0,94) ; (360,79,141)
(0,79,94) ; (120,158,141)
(120,79,94) ; (240,158,141)
(240,79,94) ; (360,158,141)
(508,0,0) ; (587,41,76)
(508,41,0) ; (587,82,76)
(508,82,0) ; (587,123,76)
(508,0,76) ; (587,120,123)
(508,0,123) ; (587,120,170)
(508,0,170) ; (587,120,217)
(0,159,0) ; (67,233,54)
(67,159,0) ; (134,233,54)
(134,159,0) ; (201,233,54)
(201,159,0) ; (268,233,54)
(0,159,54) ; (67,233,108)
(67,159,54) ; (134,233,108)
(134,159,54) ; (201,233,108)
(201,159,54) ; (268,233,108)
(0,159,108) ; (67,233,162)
(67,159,108) ; (134,233,162)
(134,159,108) ; (201,233,162)
(201,159,108) ; (268,233,162)
(0,159,162) ; (67,233,216)
(67,159,162) ; (134,233,216)
(134,159,162) ; (201,233,216)
(201,159,162) ; (268,233,216)
(435,131,0) ; (511,233,36)
(511,131,0) ; (587,233,36)
(435,131,36) ; (511,233,72)
(511,131,36) ; (587,233,72)
(435,131,72) ; (511,233,108)
(511,131,72) ; (587,233,108)
(435,131,108) ; (511,233,144)
(511,131,108) ; (587,233,144)
(435,131,144) ; (511,233,180)
(511,131,144) ; (587,233,180)
(435,131,180) ; (511,233,216)
(511,131,180) ; (587,233,216)
(426,0,0) ; (508,64,66)
(426,64,0) ; (508,128,66)
(426,0,66) ; (508,64,132)
(426,64,66) ; (508,128,132)
(426,0,132) ; (508,64,198)
(426,64,132) ; (508,128,198)
(271,167,0) ; (353,233,64)
(353,167,0) ; (435,233,64)
(271,167,64) ; (353,233,128)
(353,167,64) ; (435,233,128)
(271,167,128) ; (353,231,194)
(353,167,128) ; (435,231,194)
(360,0,0) ; (426,82,64)
(360,82,0) ; (426,164,64)
(360,0,64) ; (424,82,130)
(360,82,64) ; (424,164,130)
(360,0,130) ; (424,82,196)
(360,82,130) ; (424,164,196)
(0,0,141) ; (76,41,220)
(76,0,141) ; (152,41,220)
(152,0,141) ; (228,41,220)
(228,0,141) ; (304,41,220)
(0,41,141) ; (76,82,220)
(76,41,141) ; (152,82,220)
(152,41,141) ; (228,82,220)
(228,41,141) ; (304,82,220)
(0,82,141) ; (102,158,177)
(102,82,141) ; (204,158,177)
(204,82,141) ; (306,158,177)
(0,82,177) ; (102,158,213)
(102,82,177) ; (204,158,213)
(204,82,177) ; (306,158,213)
(306,0,141) ; (360,74,208)
(306,74,141) ; (360,148,208)
