0.0661
21 2101
587 233 220
50
1 46 1  94 0  78 1 5
2 31 1  52 1  50 1 5
3 41 1  98 0  43 1 5
4 75 0  35 1  40 1 3
5 79 0  83 0  37 1 2
6 116 0  35 1  42 1 2
7 47 1  39 1  33 1 6
8 67 1  82 1  69 1 4
9 75 1  55 1  52 1 2
10 73 1  48 1  53 1 2
11 46 1  43 1  59 1 4
12 94 1  59 1  74 1 3
13 75 1  38 1  76 0 5
14 85 0  34 1  71 0 3
15 41 1  75 0  33 1 5
16 58 0  51 1  27 1 2
17 105 0  37 1  20 1 5
18 42 1  69 1  41 1 3
19 84 1  73 1  64 1 3
20 80 0  75 0  25 1 2
21 48 0  96 0  20 1 1
22 56 0  64 0  24 1 4
23 39 1  26 1  48 1 4
24 103 0  44 1  40 1 6
25 34 1  72 0  56 1 8
26 30 1  35 1  52 1 2
27 115 0  97 1  52 1 2
28 57 1  30 1  31 1 2
29 91 0  71 1  36 1 1
30 87 1  88 1  62 1 2
31 93 1  68 1  63 1 7
32 70 1  98 0  41 1 1
33 37 1  52 0  21 1 4
34 79 0  79 0  34 1 2
35 39 1  54 1  34 1 1
36 41 1  51 1  42 1 4
37 43 0  63 0  20 1 2
38 62 1  45 1  42 1 4
39 62 1  86 0  40 1 4
40 87 0  50 1  43 1 5
41 37 1  51 0  25 1 2
42 34 1  92 0  30 1 3
43 53 1  27 1  47 1 3
44 102 1  65 1  76 1 4
45 53 1  79 1  45 1 4
46 63 0  61 0  30 1 2
47 69 1  51 1  40 1 4
48 57 1  79 1  77 1 2
49 54 1  36 1  39 1 2
50 62 1  46 1  34 1 2
(0,0,0) ; (67,82,69)
(67,0,0) ; (134,82,69)
(134,0,0) ; (185,40,69)
(134,40,0) ; (185,80,69)
(0,0,69) ; (67,82,138)
(67,0,69) ; (134,82,138)
(134,0,69) ; (185,40,138)
(134,40,69) ; (185,80,138)
(383,0,0) ; (451,63,93)
(451,0,0) ; (519,63,93)
(519,0,0) ; (587,63,93)
(383,0,93) ; (451,63,186)
(451,0,93) ; (519,63,186)
(519,0,93) ; (587,63,186)
(383,0,186) ; (475,30,220)
(383,30,186) ; (475,60,220)
(475,0,186) ; (521,62,220)
(521,0,186) ; (567,62,220)
(0,146,0) ; (43,233,50)
(43,146,0) ; (86,233,50)
(86,146,0) ; (129,233,50)
(0,146,50) ; (88,233,112)
(88,146,50) ; (128,232,112)
(0,146,112) ; (88,233,174)
(88,146,112) ; (128,232,174)
(0,146,174) ; (62,232,214)
(62,146,174) ; (124,232,214)
(383,157,0) ; (485,233,65)
(485,157,0) ; (587,233,65)
(383,157,65) ; (485,233,130)
(485,157,65) ; (587,233,130)
(383,157,130) ; (417,229,186)
(417,157,130) ; (451,229,186)
(451,157,130) ; (485,229,186)
(485,157,130) ; (519,229,186)
(519,157,130) ; (553,229,186)
(553,157,130) ; (587,229,186)
(357,63,0) ; (403,157,78)
(403,63,0) ; (449,157,78)
(449,63,0) ; (495,157,78)
(495,63,0) ; (541,157,78)
(541,63,0) ; (587,157,78)
(357,63,78) ; (431,157,137)
(431,63,78) ; (505,157,137)
(505,63,78) ; (579,157,137)
(0,82,0) ; (84,146,73)
(0,82,73) ; (84,146,146)
(0,82,146) ; (84,146,219)
(129,181,0) ; (244,233,97)
(129,181,97) ; (244,233,194)
(84,82,0) ; (129,144,42)
(84,82,42) ; (129,144,84)
(84,82,84) ; (129,144,126)
(84,82,126) ; (129,144,168)
(84,82,168) ; (127,141,214)
(129,83,0) ; (170,181,43)
(129,83,43) ; (170,181,86)
(129,83,86) ; (170,181,129)
(129,83,129) ; (170,181,172)
(129,83,172) ; (170,181,215)
(185,0,0) ; (238,79,45)
(238,0,0) ; (291,79,45)
(291,0,0) ; (344,79,45)
(185,0,45) ; (264,79,79)
(264,0,45) ; (343,79,79)
(185,0,79) ; (264,77,136)
(264,0,79) ; (343,77,136)
(255,158,0) ; (307,233,55)
(307,158,0) ; (383,233,38)
(307,158,38) ; (383,233,76)
(255,158,55) ; (307,233,110)
(307,158,76) ; (383,233,114)
(255,158,110) ; (307,195,131)
(255,195,110) ; (307,232,131)
(307,158,114) ; (383,233,152)
(255,158,131) ; (307,195,152)
(255,195,131) ; (307,232,152)
(344,0,0) ; (383,54,34)
(344,0,34) ; (383,54,70)
(344,0,70) ; (383,54,106)
(344,0,106) ; (381,51,131)
(170,82,0) ; (217,115,39)
(170,115,0) ; (217,148,39)
(170,148,0) ; (217,181,39)
(217,82,0) ; (243,130,39)
(217,130,0) ; (243,178,39)
(170,82,39) ; (217,115,78)
(170,115,39) ; (217,148,78)
(170,148,39) ; (217,181,78)
(217,82,39) ; (243,130,78)
(217,130,39) ; (243,178,78)
(170,82,78) ; (243,130,131)
(170,130,78) ; (243,178,131)
(274,79,0) ; (357,158,37)
(243,88,0) ; (273,123,52)
(243,123,0) ; (273,158,52)
(274,79,37) ; (357,158,74)
(243,96,52) ; (273,127,109)
(243,127,52) ; (273,158,109)
(275,83,74) ; (316,158,107)
(316,83,74) ; (357,158,107)
(275,83,107) ; (316,158,140)
(316,83,107) ; (357,158,140)
(275,83,140) ; (315,158,175)
(315,83,140) ; (355,158,175)
(243,100,109) ; (270,158,160)
(344,0,131) ; (381,51,156)
(170,85,131) ; (233,178,199)
(170,85,199) ; (233,128,219)
(170,128,199) ; (233,171,219)
(185,0,136) ; (254,41,178)
(254,0,136) ; (305,41,178)
(185,41,136) ; (301,76,178)
