0.0749
81 8101
587 233 220
60
1 32 1  25 1  62 0 6
2 72 1  96 1  68 1 2
3 36 1  72 0  65 1 2
4 94 0  59 0  29 1 1
5 96 0  25 1  25 1 3
6 31 1  77 0  39 1 1
7 93 0  66 1  37 1 1
8 77 1  62 1  46 1 1
9 80 0  38 1  20 1 3
10 65 1  93 1  57 1 3
11 83 0  55 0  22 1 1
12 30 1  96 0  28 1 4
13 82 1  81 1  75 1 2
14 109 0  92 0  24 1 2
15 60 1  39 1  45 1 3
16 45 1  88 1  53 1 3
17 58 1  44 1  51 1 2
18 76 1  51 1  69 1 1
19 42 1  81 1  75 1 3
20 59 0  80 0  26 1 2
21 52 1  27 1  67 0 2
22 91 0  66 0  22 1 2
23 57 1  76 1  51 1 3
24 53 1  71 1  53 1 2
25 39 1  60 1  55 1 2
26 60 1  65 1  69 1 2
27 73 0  26 1  66 0 4
28 113 0  35 1  39 1 5
29 50 1  29 1  54 1 3
30 117 0  83 1  56 1 5
31 54 1  82 0  28 1 2
32 45 1  27 1  71 0 2
33 41 1  64 1  54 1 2
34 66 0  30 1  23 1 3
35 38 1  35 1  51 1 1
36 78 1  78 1  78 1 2
37 59 1  92 1  69 1 3
38 100 0  86 0  41 1 1
39 64 1  70 1  78 1 3
40 57 1  41 1  62 1 4
41 40 1  66 0  32 1 3
42 103 0  41 1  49 1 4
43 119 0  51 1  64 1 3
44 65 1  94 1  68 1 2
45 112 1  69 1  69 1 1
46 108 0  82 0  33 1 1
47 31 1  61 1  54 1 1
48 56 1  40 1  44 1 1
49 46 1  61 1  51 1 2
50 67 1  74 1  73 1 4
51 112 0  28 1  57 0 2
52 112 0  47 1  49 1 3
53 90 1  51 1  53 1 3
54 92 0  92 0  41 1 2
55 33 1  48 1  46 1 2
56 83 1  62 1  46 1 2
57 38 1  98 0  26 1 2
58 84 0  82 0  39 1 3
59 50 1  40 1  43 1 3
60 30 1  69 0  69 0 1
(0,0,0) ; (51,58,44)
(51,0,0) ; (113,57,41)
(51,0,41) ; (113,57,82)
(0,0,44) ; (51,58,88)
(51,0,82) ; (113,57,123)
(0,0,88) ; (51,57,164)
(51,0,123) ; (113,57,164)
(0,0,164) ; (112,57,192)
(0,0,192) ; (112,57,220)
(470,0,0) ; (587,56,83)
(470,56,0) ; (587,112,83)
(470,112,0) ; (587,168,83)
(470,0,83) ; (587,83,139)
(470,83,83) ; (587,166,139)
(0,151,0) ; (84,233,39)
(84,151,0) ; (165,233,75)
(0,151,39) ; (84,233,78)
(84,151,75) ; (165,233,150)
(0,151,78) ; (84,233,117)
(0,151,117) ; (42,232,192)
(42,151,117) ; (84,232,192)
(84,151,150) ; (165,226,192)
(494,168,0) ; (587,233,57)
(494,168,57) ; (587,233,114)
(494,168,114) ; (587,233,171)
(0,58,0) ; (45,146,53)
(45,58,0) ; (96,148,53)
(0,58,53) ; (45,146,106)
(45,58,53) ; (96,148,106)
(0,58,106) ; (45,146,159)
(45,58,106) ; (96,148,159)
(0,58,159) ; (32,120,184)
(32,58,159) ; (64,120,184)
(64,58,159) ; (96,120,184)
(0,120,159) ; (96,145,184)
(416,169,0) ; (494,233,70)
(416,169,70) ; (494,233,140)
(416,169,140) ; (493,231,186)
(416,169,186) ; (441,231,218)
(441,169,186) ; (466,231,218)
(466,169,186) ; (491,231,218)
(113,0,0) ; (187,67,73)
(113,0,73) ; (187,67,146)
(113,0,146) ; (186,67,220)
(334,0,0) ; (402,96,72)
(402,0,0) ; (470,96,72)
(334,0,72) ; (402,94,137)
(402,0,72) ; (470,94,137)
(96,67,0) ; (147,124,76)
(147,67,0) ; (198,124,76)
(96,124,0) ; (194,150,38)
(96,124,38) ; (194,150,76)
(165,163,0) ; (278,198,39)
(165,198,0) ; (278,233,39)
(278,163,0) ; (342,233,78)
(165,163,39) ; (278,198,78)
(165,198,39) ; (278,233,78)
(165,163,78) ; (224,232,170)
(224,163,78) ; (283,232,170)
