0.0796
2 201
587 233 220
70
1 84 1  48 1  66 1 1
2 107 1  67 1  55 1 1
3 78 1  65 1  78 1 2
4 118 1  70 1  61 1 3
5 47 1  53 1  73 1 2
6 74 1  81 1  57 1 1
7 65 1  43 1  59 1 1
8 100 1  72 1  73 1 3
9 82 0  76 0  33 1 4
10 101 1  74 1  59 1 1
11 62 1  59 1  38 1 1
12 81 1  57 1  65 1 3
13 91 1  91 1  64 1 1
14 58 0  84 0  24 1 1
15 37 1  93 0  23 1 1
16 64 1  63 1  52 1 3
17 68 1  99 1  78 1 1
18 66 1  54 1  38 1 1
19 107 0  44 1  31 1 2
20 43 1  57 1  43 1 2
21 84 0  46 1  28 1 1
22 84 1  76 1  67 1 1
23 108 1  97 1  79 1 3
24 58 0  38 1  21 1 3
25 46 1  30 1  76 0 2
26 37 1  70 1  45 1 3
27 36 1  79 0  59 1 1
28 40 1  88 0  30 1 2
29 112 0  36 1  32 1 1
30 38 1  32 1  40 1 2
31 71 1  89 1  51 1 2
32 85 1  48 1  49 1 1
33 120 1  73 1  73 1 2
34 97 0  38 1  59 1 2
35 103 0  96 1  51 1 2
36 83 0  30 1  41 1 1
37 64 1  65 1  65 1 2
38 99 0  99 0  46 1 1
39 75 0  29 1  32 1 3
40 120 0  57 1  41 1 1
41 65 1  80 1  51 1 2
42 71 0  74 0  22 1 2
43 61 1  69 1  58 1 1
44 42 1  73 0  23 1 2
45 59 1  85 1  43 1 2
46 67 1  96 1  62 1 1
47 116 0  86 1  53 1 2
48 116 0  52 1  75 1 1
49 67 0  99 0  25 1 2
50 83 0  35 1  35 1 2
51 66 1  60 1  69 1 1
52 54 0  27 1  77 0 2
53 117 0  95 0  47 1 2
54 116 0  48 1  37 1 1
55 116 0  36 1  50 1 1
56 58 0  79 0  24 1 1
57 79 0  27 1  44 1 1
58 55 1  86 0  28 1 1
59 89 1  93 1  51 1 2
60 61 1  73 1  64 1 1
61 53 1  35 1  28 1 6
62 70 1  58 1  37 1 2
63 38 1  89 0  57 1 2
64 49 0  42 0  21 1 2
65 79 0  65 0  30 1 1
66 109 0  49 1  57 1 2
67 103 0  44 1  62 1 1
68 75 0  46 1  31 1 1
69 77 1  68 1  52 1 1
70 44 1  40 1  76 1 2
(0,0,0) ; (103,51,96)
(0,0,96) ; (103,51,192)
(350,0,0) ; (429,97,108)
(429,0,0) ; (508,97,108)
(508,0,0) ; (587,97,108)
(350,0,108) ; (467,95,155)
(467,0,108) ; (584,95,155)
(0,160,0) ; (73,233,120)
(73,160,0) ; (146,233,120)
(0,160,120) ; (72,233,220)
(72,160,120) ; (144,233,220)
(465,163,0) ; (526,233,118)
(526,163,0) ; (587,233,118)
(465,163,118) ; (583,233,179)
(465,163,179) ; (523,233,216)
(523,163,179) ; (581,233,216)
(0,51,0) ; (116,104,86)
(0,104,0) ; (116,157,86)
(446,98,0) ; (509,162,52)
(509,98,0) ; (587,163,78)
(446,98,52) ; (509,162,104)
(509,98,78) ; (587,163,156)
(446,98,104) ; (509,162,156)
(103,0,0) ; (174,51,89)
(174,0,0) ; (267,51,89)
(103,0,89) ; (174,51,178)
(174,0,89) ; (267,51,178)
(366,165,0) ; (465,233,78)
(366,165,78) ; (465,232,103)
(366,165,103) ; (465,232,128)
(366,165,128) ; (462,232,190)
(146,168,0) ; (227,233,57)
(227,168,0) ; (308,233,57)
(146,168,57) ; (226,233,108)
(226,168,57) ; (306,233,108)
(116,51,0) ; (173,160,49)
(116,51,49) ; (173,160,98)
(369,97,0) ; (446,165,52)
(309,152,0) ; (366,233,74)
(309,152,74) ; (366,233,139)
(309,152,139) ; (337,205,174)
(337,152,139) ; (365,205,174)
(309,205,139) ; (362,233,174)
(173,51,0) ; (264,115,91)
(268,0,0) ; (350,76,33)
(268,0,33) ; (350,76,66)
(268,0,66) ; (350,76,99)
(268,0,99) ; (350,76,132)
(268,0,132) ; (308,76,176)
(308,0,132) ; (348,76,176)
(173,116,0) ; (289,168,75)
(173,116,75) ; (289,166,111)
(296,105,0) ; (369,152,53)
(264,76,0) ; (350,104,55)
(264,76,55) ; (348,104,101)
(370,98,52) ; (446,165,136)
(296,105,53) ; (369,152,106)
(0,51,86) ; (74,152,145)
(0,51,145) ; (73,151,217)
(74,51,86) ; (112,148,145)
(74,51,145) ; (112,148,204)
(173,51,91) ; (216,110,176)
(216,51,91) ; (259,110,176)
(173,51,176) ; (216,108,219)
(216,51,176) ; (259,108,219)
(116,51,98) ; (171,158,165)
(269,76,101) ; (348,103,145)
(299,107,106) ; (369,152,143)
