0.039
29 2901
587 233 220
8
1 106 0  41 1  39 1 27
2 80 1  42 1  72 1 22
3 36 1  62 1  33 1 27
4 66 0  52 1  33 1 25
5 36 1  55 1  66 1 31
6 46 1  74 0  32 1 27
7 118 0  33 1  55 1 20
8 118 0  33 1  55 1 19
(312,106,123) ; (0,0,0)
(160,126,216) ; (0,107,0)
(118,132,220) ; (469,0,0)
(132,99,104) ; (455,134,0)
(154,66,220) ; (315,0,0)
(190,66,220) ; (265,167,0)
(72,126,113) ; (160,107,0)
(144,66,220) ; (325,66,0)
(118,33,220) ; (337,134,0)
(33,124,108) ; (232,109,0)
(36,33,186) ; (301,134,0)
(36,55,132) ; (265,112,0)
(132,99,104) ; (455,134,104)
(33,118,110) ; (232,115,108)
(72,124,99) ; (160,107,113)
(184,74,96) ; (0,0,123)
(222,32,92) ; (0,74,123)
(92,74,96) ; (184,0,123)
(33,66,52) ; (279,0,123)
(74,32,92) ; (222,74,123)
(36,55,66) ; (265,112,132)
(33,62,36) ; (279,0,175)
