0.0442
59 5901
587 233 220
8
1 102 1  63 1  78 1 13
2 95 1  84 1  58 1 17
3 106 0  42 1  64 1 15
4 52 1  69 1  45 1 18
5 83 1  73 1  73 1 12
6 78 0  50 1  35 1 7
7 68 0  56 0  21 1 16
8 32 1  49 1  51 1 8
(0,0,0) ; (69,45,52)
(69,0,0) ; (138,45,52)
(138,0,0) ; (207,45,52)
(0,45,0) ; (102,108,78)
(102,45,0) ; (204,108,78)
(0,0,52) ; (69,45,104)
(69,0,52) ; (138,45,104)
(138,0,52) ; (207,45,104)
(0,45,78) ; (102,108,156)
(102,45,78) ; (204,108,156)
(0,0,104) ; (69,45,156)
(69,0,104) ; (138,45,156)
(138,0,104) ; (207,45,156)
(397,0,0) ; (492,58,84)
(492,0,0) ; (587,58,84)
(397,58,0) ; (492,116,84)
(492,58,0) ; (587,116,84)
(397,116,0) ; (492,174,84)
(492,116,0) ; (587,174,84)
(397,174,0) ; (492,232,84)
(492,174,0) ; (587,232,84)
(397,0,84) ; (492,58,168)
(492,0,84) ; (587,58,168)
(397,58,84) ; (492,116,168)
(492,58,84) ; (587,116,168)
(397,116,84) ; (492,174,168)
(492,116,84) ; (587,174,168)
(397,174,84) ; (492,232,168)
(492,174,84) ; (587,232,168)
(0,150,0) ; (73,233,73)
(73,150,0) ; (146,233,73)
(146,150,0) ; (219,233,73)
(219,150,0) ; (292,233,73)
(0,150,73) ; (73,233,146)
(73,150,73) ; (146,233,146)
(146,150,73) ; (219,233,146)
(219,150,73) ; (292,233,146)
(0,150,146) ; (73,233,219)
(73,150,146) ; (146,233,219)
(146,150,146) ; (219,233,219)
(219,150,146) ; (292,233,219)
(0,108,0) ; (106,150,64)
(106,108,0) ; (212,150,64)
(0,108,64) ; (106,150,128)
(106,108,64) ; (212,150,128)
(0,108,128) ; (106,150,192)
(106,108,128) ; (212,150,192)
(333,0,0) ; (397,106,42)
(333,0,42) ; (397,106,84)
(333,0,84) ; (397,106,126)
(333,0,126) ; (397,106,168)
(333,0,168) ; (365,51,217)
(365,0,168) ; (397,51,217)
(333,51,168) ; (365,102,217)
(365,51,168) ; (397,102,217)
(295,107,0) ; (397,170,78)
(295,170,0) ; (397,233,78)
(295,107,78) ; (397,170,156)
(295,170,78) ; (397,233,156)
(207,0,0) ; (249,106,64)
(249,0,0) ; (291,106,64)
(291,0,0) ; (333,106,64)
(212,115,0) ; (290,150,50)
(212,115,50) ; (290,150,100)
(212,115,100) ; (290,150,150)
(212,115,150) ; (290,150,200)
(207,0,64) ; (270,102,142)
(270,0,64) ; (333,102,142)
(207,0,142) ; (270,102,220)
(270,0,142) ; (333,102,220)
(0,0,156) ; (49,51,188)
(49,0,156) ; (98,51,188)
(0,0,188) ; (49,51,220)
(49,0,188) ; (98,51,220)
(0,51,156) ; (68,107,177)
(68,51,156) ; (136,107,177)
(136,51,156) ; (204,107,177)
(0,51,177) ; (68,107,198)
(68,51,177) ; (136,107,198)
(136,51,177) ; (204,107,198)
(0,51,198) ; (68,107,219)
(68,51,198) ; (136,107,219)
(136,51,198) ; (204,107,219)
(98,0,156) ; (204,42,220)
(295,155,156) ; (397,233,219)
(328,110,156) ; (397,155,208)
(518,0,168) ; (587,45,220)
(518,45,168) ; (587,90,220)
(518,90,168) ; (587,135,220)
(449,142,168) ; (518,187,220)
(518,142,168) ; (587,187,220)
(449,187,168) ; (518,232,220)
(518,187,168) ; (587,232,220)
(406,0,168) ; (462,68,189)
(462,0,168) ; (518,68,189)
(406,0,189) ; (462,68,210)
(462,0,189) ; (518,68,210)
(440,68,168) ; (518,103,218)
(440,103,168) ; (518,138,218)
(397,163,168) ; (449,232,213)
(405,68,168) ; (440,146,218)
