21 3
0 7
1 7
2 7
0 7 0.209866
0 8 0.105696
0 9 0.465094
0 10 0.503776
0 11 0.102627
0 12 0.115954
0 13 0.0806517
0 14 0.166846
0 15 0.539714
0 16 0.120262
0 17 0.105696
0 18 0.142529
0 19 0.149606
0 20 0.477407
1 7 0.160321
1 8 0.081806
1 9 0.139189
1 10 0.119435
1 11 0.158924
1 12 0.149146
1 13 0.838109
1 14 1
1 15 0.184492
1 16 0.147357
1 17 0.0861195
1 18 0.0992067
1 19 0.182189
1 20 0.0992067
2 7 0.937391
2 8 0.0760586
2 9 0.235045
2 10 0.214149
2 11 0.143765
2 12 0.189534
2 13 0.0541814
2 14 0.176034
2 15 0.199783
2 16 0.131528
2 17 0.0806216
2 18 0.599978
2 19 0.536739
2 20 0.209352
3 7 0.147669
3 8 0.0773017
3 9 0.407272
3 10 0.114533
3 11 0.956043
3 12 0.115117
3 13 0.0440278
3 14 0.158427
3 15 0.148369
3 16 1
3 17 0.0819392
3 18 0.0789001
3 19 0.114533
3 20 0.089721
4 7 0.0618599
4 8 0.995966
4 9 0.0624682
4 10 0.0712722
4 11 0.0712722
4 12 0.0712722
4 13 0.281777
4 14 0.0805358
4 15 0.0938767
4 16 0.0712722
4 17 1
4 18 0.280702
4 19 0.102681
4 20 0.0712722
5 7 0.166278
5 8 0.0811506
5 9 0.167012
5 10 0.208416
5 11 0.14713
5 12 0.969144
5 13 0.0885871
5 14 0.135414
5 15 0.167012
5 16 0.120849
5 17 0.0860191
5 18 0.306847
5 19 0.562875
5 20 0.550064
6 7 0.0746116
6 8 0.0731
6 9 0.104927
6 10 0.460974
6 11 0.623871
6 12 0.138514
6 13 0.0416347
6 14 0.114439
6 15 0.451402
6 16 0.594216
6 17 0.0774855
6 18 0.104266
6 19 0.114499
6 20 0.114499
7 14 0.164918
7 15 0.207662
7 16 0.14129
7 17 0.0680457
7 18 0.597618
7 19 0.484801
7 20 0.142698
8 14 0.0768118
8 15 0.0902067
8 16 0.0675107
8 17 1
8 18 0.277788
8 19 0.0990464
8 20 0.0675107
9 14 0.157305
9 15 0.597758
9 16 0.428119
9 17 0.0754937
9 18 0.209996
9 19 0.226281
9 20 0.190475
10 14 0.118277
10 15 0.535759
10 16 0.105497
10 17 0.0754741
10 18 0.164447
10 19 0.178716
10 20 0.557644
11 14 0.168765
11 15 0.127856
11 16 0.944299
11 17 0.0809327
11 18 0.119808
11 19 0.168827
11 20 0.130496
12 14 0.167988
12 15 0.135876
12 16 0.1206
12 17 0.0858418
12 18 0.308275
12 19 0.563776
12 20 0.581783
13 14 0.762338
13 15 0.0685749
13 16 0.037249
13 17 0.274073
13 18 0.259446
13 19 0.0771381
13 20 0.071393
