159 4
0 40
1 40
2 39
3 40
0 40 0.256
0 41 0.036
0 42 0.12
0 43 0.06
0 44 0.064
0 45 0.064
0 46 0
0 47 0
0 48 0
0 49 0.072
0 50 0
0 51 0.08
0 52 0.08
0 53 0.08
0 54 0
0 55 0.042
0 56 0.126
0 57 0
0 58 0
0 59 0.021
0 60 0.108
0 61 0.021
0 62 0.08
0 63 0.09
0 64 0
0 65 0.021
0 66 0.021
0 67 0.021
0 68 0
0 69 0
0 70 0
0 71 0
0 72 0
0 73 0
0 74 0.08
0 75 0.021
0 76 0
0 77 0.08
0 78 0
0 79 0
0 80 0.196
0 81 0.096
0 82 0.64
0 83 0.064
0 84 0.064
0 85 0.021
0 86 0
0 87 0.093
0 88 0
0 89 0
0 90 0.08
0 91 0.08
0 92 0.08
0 93 0.042
0 94 0.126
0 95 0.021
0 96 0.021
0 97 0
0 98 0
0 99 0
0 100 0.08
0 101 0
0 102 0
0 103 0.111
0 104 0.021
0 105 0
0 106 0
0 107 0.08
0 108 0
0 109 0
0 110 0
0 111 0.16
0 112 0.108
0 113 0
0 114 0.08
0 115 0
0 116 0
0 117 0
0 118 0
0 119 0.165
0 120 0.096
0 121 0
0 122 0.184
0 123 0
0 124 0
0 125 0
0 126 0.021
0 127 0.021
0 128 0.021
0 129 0
0 130 0.08
0 131 0.08
0 132 0
0 133 0
0 134 0.126
0 135 0
0 136 0
0 137 0
0 138 0.3
0 139 0.09
0 140 0.021
0 141 0
0 142 0
0 143 0
0 144 0.072
0 145 0
0 146 0
0 147 0
0 148 0.16
0 149 0
0 150 0.08
0 151 0
0 152 0.08
0 153 0
0 154 0
0 155 0
0 156 0
0 157 0
0 158 0
1 40 0
1 41 0.00204918
1 42 0.262295
1 43 0.0184426
1 44 0.0163934
1 45 0.0717213
1 46 0.00204918
1 47 0.057377
1 48 0
1 49 0
1 50 0.00204918
1 51 0
1 52 0
1 53 0
1 54 0
1 55 0.35041
1 56 0.00204918
1 57 0.0430328
1 58 0
1 59 0
1 60 0.0245902
1 61 0
1 62 0
1 63 0.0717213
1 64 0.358607
1 65 0.00204918
1 66 0.00204918
1 67 0
1 68 0.0717213
1 69 0.0717213
1 70 0.0717213
1 71 0
1 72 0
1 73 0.00204918
1 74 0.0409836
1 75 0.00204918
1 76 0.00204918
1 77 0
1 78 0.0409836
1 79 0
1 80 0
1 81 0
1 82 0.00204918
1 83 0.0163934
1 84 0.0717213
1 85 0.00204918
1 86 0.00204918
1 87 0.00204918
1 88 0.0717213
1 89 0.0409836
1 90 0
1 91 0
1 92 0
1 93 0.375
1 94 0.45082
1 95 0
1 96 0.00204918
1 97 0
1 98 0
1 99 0
1 100 0
1 101 0
1 102 0.358607
1 103 0.00204918
1 104 0.00204918
1 105 0.0717213
1 106 0.0717213
1 107 0
1 108 0
1 109 0
1 110 0.00204918
1 111 0
1 112 0.0594262
1 113 0.00204918
1 114 0
1 115 0.0409836
1 116 0
1 117 0
1 118 0
1 119 0.0184426
1 120 0
1 121 0.0614754
1 122 0.0717213
1 123 0.303279
1 124 0.00204918
1 125 0
1 126 0
1 127 0.00204918
1 128 0.0430328
1 129 0
1 130 0
1 131 0
1 132 0.872951
1 133 0.00204918
1 134 0.00204918
1 135 0
1 136 0
1 137 0
1 138 0.0430328
1 139 0.0717213
1 140 0.057377
1 141 0.0717213
1 142 0.0717213
1 143 0.0717213
1 144 0
1 145 0
1 146 0.00204918
1 147 0.0266393
1 148 0
1 149 0
1 150 0
1 151 0.00204918
1 152 0
1 153 0.0409836
1 154 0
1 155 0
1 156 0
1 157 0
1 158 0
2 40 0.0703934
2 41 0.821946
2 42 0.0186335
2 43 0.047619
2 44 0.0165631
2 45 0.0165631
2 46 0.00207039
2 47 0.163561
2 48 0
2 49 0
2 50 0.0434783
2 51 0
2 52 0
2 53 0
2 54 0.0414079
2 55 0.00207039
2 56 0.00207039
2 57 0.00207039
2 58 0
2 59 0
2 60 0.0289855
2 61 0
2 62 0
2 63 0
2 64 0
2 65 0.00207039
2 66 0.00207039
2 67 0
2 68 0
2 69 0
2 70 0
2 71 0.165631
2 72 0
2 73 0.00207039
2 74 0
2 75 0.00207039
2 76 0.00207039
2 77 0
2 78 0
2 79 0
2 80 0.0414079
2 81 0.848861
2 82 0.00207039
2 83 0.0165631
2 84 0.0165631
2 85 0.134576
2 86 0.0310559
2 87 0.00207039
2 88 0
2 89 0
2 90 0
2 91 0
2 92 0
2 93 0.00207039
2 94 0
2 95 0
2 96 0.00207039
2 97 0
2 98 0
2 99 0
2 100 0
2 101 0
2 102 0
2 103 0.00207039
2 104 0.00207039
2 105 0
2 106 0
2 107 0
2 108 0
2 109 0.190476
2 110 0.0434783
2 111 0.0414079
2 112 0.0310559
2 113 0.00207039
2 114 0
2 115 0
2 116 0
2 117 0
2 118 0
2 119 0.047619
2 120 0.848861
2 121 0.0186335
2 122 0.0165631
2 123 0.0165631
2 124 0.134576
2 125 0
2 126 0
2 127 0.00207039
2 128 0.00207039
2 129 0
2 130 0
2 131 0
2 132 0.00207039
2 133 0.00207039
2 134 0.00207039
2 135 0
2 136 0
2 137 0
2 138 0
2 139 0
2 140 0.00207039
2 141 0
2 142 0
2 143 0
2 144 0
2 145 0
2 146 0.0310559
2 147 0.00207039
2 148 0.0414079
2 149 0
2 150 0
2 151 0.00207039
2 152 0
2 153 0
2 154 0
2 155 0
2 156 0
2 157 0
2 158 0
3 40 0
3 41 0
3 42 0.0704225
3 43 0.0160966
3 44 0.0804829
3 45 1
3 46 0
3 47 0.054326
3 48 0.201207
3 49 0
3 50 0.201207
3 51 0
3 52 0
3 53 0
3 54 0
3 55 0
3 56 0.321932
3 57 0
3 58 0
3 59 0
3 60 0
3 61 0
3 62 0
3 63 0.120724
3 64 0.120724
3 65 0
3 66 0
3 67 0
3 68 0
3 69 0
3 70 0
3 71 0
3 72 0
3 73 0
3 74 0
3 75 0
3 76 0
3 77 0
3 78 0
3 79 0
3 80 0
3 81 0
3 82 0.0643863
3 83 0.0804829
3 84 1
3 85 0
3 86 0
3 87 0
3 88 0
3 89 0
3 90 0
3 91 0
3 92 0
3 93 0
3 94 0.054326
3 95 0
3 96 0
3 97 0
3 98 0
3 99 0
3 100 0
3 101 0.120724
3 102 0.120724
3 103 0
3 104 0
3 105 0
3 106 0
3 107 0
3 108 0
3 109 0
3 110 0.201207
3 111 0
3 112 0
3 113 0
3 114 0
